step_index,mode_before,mode_after,x_m,y_m,sar_row,sar_col,step_distance_m,total_distance_m,measurement_excess,measurement_quantity,measurement_unit,platform_altitude_m,value_reference_height_m,estimator_updated_cells,estimator_update_time_s,hazard_active,hazard_transition,hazard_episode_index,entry_threshold_current,exit_threshold_current,normal_route_interrupted,mode_transition_reason,radiation_planning_time_s,continuation_planning_time_s
0,NORMAL,RADIATION,522960.9204974669,5696984.290406497,30,29,0.0,0.0,2.7173536584676605,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.000914699980057776,True,enter,1,0.1,0.09000000000000001,True,hazard_enter_threshold,,
1,RADIATION,RADIATION,522940.9204974669,5696964.290406497,29,28,28.284271247461902,28.284271247461902,2.0966712492640003,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.0005290000117383897,True,,1,0.1,0.09000000000000001,False,,0.0006524999917019159,
2,RADIATION,RADIATION,522920.9204974669,5696944.290406497,28,27,28.284271247461902,56.568542494923804,1.639754307954841,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.00047080000513233244,True,,1,0.1,0.09000000000000001,False,,0.000585400004638359,
3,RADIATION,RADIATION,522900.9204974669,5696924.290406497,27,26,28.284271247461902,84.8528137423857,1.3395424580304636,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.0004749000072479248,True,,1,0.1,0.09000000000000001,False,,0.0005737000028602779,
4,RADIATION,RADIATION,522880.9204974669,5696944.290406497,28,25,28.284271247461902,113.13708498984761,1.1960918405798797,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.0004165999998804182,True,,1,0.1,0.09000000000000001,False,,0.0005602000164799392,
5,RADIATION,RADIATION,522880.9204974669,5696964.290406497,29,25,20.0,133.1370849898476,1.193008502762574,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.0004023000074084848,True,,1,0.1,0.09000000000000001,False,,0.0005537999968510121,
6,RADIATION,RADIATION,522860.9204974669,5696984.290406497,30,24,28.284271247461902,161.4213562373095,1.0659907672387436,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.00045429999590851367,True,,1,0.1,0.09000000000000001,False,,0.0005676999862771481,
7,RADIATION,RADIATION,522840.9204974669,5696964.290406497,29,23,28.284271247461902,189.7056274847714,1.0191170851357718,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.0003826000029221177,True,,1,0.1,0.09000000000000001,False,,0.0005355999746825546,
8,RADIATION,RADIATION,522840.9204974669,5696984.290406497,30,23,20.0,209.7056274847714,1.006070316425597,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.0004602000117301941,True,,1,0.1,0.09000000000000001,False,,0.0005866999854333699,
9,RADIATION,RADIATION,522820.9204974669,5696964.290406497,29,22,28.284271247461902,237.9898987322333,0.9906075663871006,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.00039500001003034413,True,,1,0.1,0.09000000000000001,False,,0.0005507000023499131,
