step_index,x_m,y_m,platform_altitude_m,value_reference_height_m,value,quantity,unit,sampling_contract
38,522600.9204974669,5697044.290406496,50.0,1.0,20.92413048775541,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
39,522620.9204974669,5697064.290406496,50.0,1.0,6.734547590713381,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
40,522600.9204974669,5697064.290406496,50.0,1.0,11.674306103371007,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
41,522580.9204974669,5697064.290406496,50.0,1.0,19.172354938763206,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
42,522560.9204974669,5697044.290406496,50.0,1.0,90.06760926273076,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
43,522540.9204974669,5697064.290406496,50.0,1.0,12.768544326454107,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
44,522560.9204974669,5697064.290406496,50.0,1.0,20.14770385540988,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
45,522540.9204974669,5697084.290406496,50.0,1.0,6.828774669891772,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
46,522520.9204974669,5697064.290406496,50.0,1.0,7.282202779299164,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
47,522520.9204974669,5697084.290406496,50.0,1.0,4.896031386817546,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
48,522540.9204974669,5697104.290406496,50.0,1.0,4.121674982113663,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
49,522520.9204974669,5697104.290406496,50.0,1.0,3.344769590282122,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
50,522500.9204974669,5697104.290406496,50.0,1.0,2.6108713340898833,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
51,522480.9204974669,5697084.290406496,50.0,1.0,2.483263837649076,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
52,522480.9204974669,5697064.290406496,50.0,1.0,2.9490374375726405,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
53,522460.9204974669,5697064.290406496,50.0,1.0,2.0948337607443928,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
54,522440.9204974669,5697064.290406496,50.0,1.0,1.568772487262669,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
55,522420.9204974669,5697064.290406496,50.0,1.0,1.223783601270361,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
56,522400.9204974669,5697084.290406496,50.0,1.0,0.9323136092264299,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
57,522420.9204974669,5697104.290406496,50.0,1.0,1.0421857521108737,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
58,522440.9204974669,5697104.290406496,50.0,1.0,1.2766836655418274,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
59,522460.9204974669,5697124.290406496,50.0,1.0,1.3519726844934583,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
60,522480.9204974669,5697144.290406496,50.0,1.0,1.3383557920622524,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
61,522500.9204974669,5697144.290406496,50.0,1.0,1.5559767689415642,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
62,522520.9204974669,5697144.290406496,50.0,1.0,1.7758273776780629,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
63,522540.9204974669,5697144.290406496,50.0,1.0,1.9620746151863113,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
64,522560.9204974669,5697124.290406496,50.0,1.0,2.962012600691292,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
65,522560.9204974669,5697144.290406496,50.0,1.0,2.0701940351926824,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
66,522580.9204974669,5697164.290406496,50.0,1.0,1.543523230622249,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
67,522560.9204974669,5697164.290406496,50.0,1.0,1.5409470712892557,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
68,522540.9204974669,5697164.290406496,50.0,1.0,1.4801651620220393,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
69,522520.9204974669,5697164.290406496,50.0,1.0,1.3737853314324644,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
70,522520.9204974669,5697184.290406496,50.0,1.0,1.0969907743514873,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
71,522540.9204974669,5697204.290406496,50.0,1.0,0.942489327954507,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
72,522560.9204974669,5697204.290406496,50.0,1.0,0.9679248244859335,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
73,522580.9204974669,5697204.290406496,50.0,1.0,0.9726642984361746,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
74,522600.9204974669,5697184.290406496,50.0,1.0,1.1757415322929492,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
75,522620.9204974669,5697184.290406496,50.0,1.0,1.1204449491619695,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
76,522620.9204974669,5697204.290406496,50.0,1.0,0.9242903154705802,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
77,522640.9204974669,5697204.290406496,50.0,1.0,0.8797178660274776,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
78,522620.9204974669,5697224.290406496,50.0,1.0,0.7782913873773787,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
79,522600.9204974669,5697244.290406496,50.0,1.0,0.6786128924354629,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
80,522580.9204974669,5697244.290406496,50.0,1.0,0.6827249714603665,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
81,522560.9204974669,5697244.290406496,50.0,1.0,0.6779257938755034,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
82,522540.9204974669,5697244.290406496,50.0,1.0,0.6641098840670321,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
83,522520.9204974669,5697224.290406496,50.0,1.0,0.7530634361052617,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
84,522500.9204974669,5697204.290406496,50.0,1.0,0.842849599143362,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
85,522480.9204974669,5697184.290406496,50.0,1.0,0.9203985826783467,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
86,522480.9204974669,5697164.290406496,50.0,1.0,1.102355902060635,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
87,522460.9204974669,5697144.290406496,50.0,1.0,1.1426379313738142,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
88,522440.9204974669,5697144.290406496,50.0,1.0,0.975575184287689,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
89,522420.9204974669,5697124.290406496,50.0,1.0,0.9378710185970569,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
90,522420.9204974669,5697144.290406496,50.0,1.0,0.8366983911646808,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
91,522440.9204974669,5697164.290406496,50.0,1.0,0.8486498644265517,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
92,522440.9204974669,5697184.290406496,50.0,1.0,0.74008934543739,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
93,522460.9204974669,5697204.290406496,50.0,1.0,0.7131276141516556,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
94,522480.9204974669,5697224.290406496,50.0,1.0,0.6683013500648687,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
95,522500.9204974669,5697244.290406496,50.0,1.0,0.6134535263025509,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
96,522480.9204974669,5697244.290406496,50.0,1.0,0.5801087086459842,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
97,522460.9204974669,5697244.290406496,50.0,1.0,0.5440498573053021,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
98,522440.9204974669,5697244.290406496,50.0,1.0,0.5070336917670253,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
99,522460.9204974669,5697264.290406496,50.0,1.0,0.4814149305163596,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
100,522480.9204974669,5697284.290406496,50.0,1.0,0.450888089857516,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
101,522500.9204974669,5697284.290406496,50.0,1.0,0.47042608507221634,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
102,522520.9204974669,5697284.290406496,50.0,1.0,0.48711238708401167,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
103,522540.9204974669,5697284.290406496,50.0,1.0,0.5001760148745176,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
104,522560.9204974669,5697284.290406496,50.0,1.0,0.5090362490110376,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
105,522580.9204974669,5697284.290406496,50.0,1.0,0.5133983489046681,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
106,522600.9204974669,5697284.290406496,50.0,1.0,0.5133071515800971,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
107,522620.9204974669,5697264.290406496,50.0,1.0,0.5791130433562512,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
108,522640.9204974669,5697244.290406496,50.0,1.0,0.6484004098019529,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
109,522640.9204974669,5697224.290406496,50.0,1.0,0.749998609839905,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
110,522660.9204974669,5697244.290406496,50.0,1.0,0.6260238917878274,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
111,522680.9204974669,5697224.290406496,50.0,1.0,0.6809558742997357,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
112,522700.9204974669,5697244.290406496,50.0,1.0,0.5765672501280197,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
113,522720.9204974669,5697224.290406496,50.0,1.0,0.6131146945448516,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
114,522720.9204974669,5697204.290406496,50.0,1.0,0.682369889515333,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
115,522740.9204974669,5697184.290406496,50.0,1.0,0.7094412625489166,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
116,522760.9204974669,5697204.290406496,50.0,1.0,0.6106919509259607,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
117,522760.9204974669,5697184.290406496,50.0,1.0,0.6673680474864347,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
118,522760.9204974669,5697164.290406496,50.0,1.0,0.728123704720975,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
119,522780.9204974669,5697144.290406496,50.0,1.0,0.7422209468666003,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
