path_distance_m,time_s,cumulative_sar_probability,cumulative_survivors_found,cumulative_uav_excess_distance_integral,cumulative_uav_total_distance_integral,cumulative_uav_excess_dose,cumulative_uav_total_dose,radiation_distance_integral_unit,radiation_dose_unit
0.0,0.0,0.00013220316497061812,0,0.0,0.0,0.0,0.0,uSv/h*m,uSv
1.0,0.1,0.00013889554901955667,0,0.08106135592439884,0.28106135592439885,2.251704331233301e-06,7.807259886788857e-06,uSv/h*m,uSv
2.0,0.2,0.00014558793306849522,0,0.16210600389677896,0.562106003896779,4.5029445526883044e-06,1.5614055663799416e-05,uSv/h*m,uSv
3.0,0.3,0.0001522803171174338,0,0.24313342556606055,0.8431334255660606,6.753706265723904e-06,2.3420372932390572e-05,uSv/h*m,uSv
4.0,0.4,0.00015897270116637234,0,0.32414310324653917,1.1241431032465394,9.003975090181643e-06,3.122619731240387e-05,uSv/h*m,uSv
5.0,0.5,0.0001656650852153109,0,0.40513451993743704,1.4051345199374374,1.1253736664928808e-05,3.9031514442706593e-05,uSv/h*m,uSv
6.0,0.6,0.00017235746926424944,0,0.4861071593423949,1.6861071593423953,1.3502976648399859e-05,4.6836309981733204e-05,uSv/h*m,uSv
7.0,0.7,0.00017904985331318799,0,0.5670605058888771,1.9670605058888775,1.5751680719135477e-05,5.4640569608024375e-05,uSv/h*m,uSv
8.0,0.8,0.00018574223736212656,0,0.6479940447475206,2.247994044747521,1.7999834576320018e-05,6.244427902076447e-05,uSv/h*m,uSv
9.0,0.9,0.0001924346214110651,0,0.7289072618514245,2.5289072618514252,2.0247423940317348e-05,7.024742394031737e-05,uSv/h*m,uSv
10.0,1.0,0.0001991269456117081,0,0.8097996439153488,2.8097996439153494,2.2494434553204132e-05,7.804999010875971e-05,uSv/h*m,uSv
11.0,1.1,0.0001991269456117081,0,0.8906706784548438,3.0906706784548446,2.4740852179301216e-05,8.585196329041235e-05,uSv/h*m,uSv
12.0,1.2,0.0001991269456117081,0,0.9715198538053039,3.371519853805305,2.6986662605702886e-05,9.365332927236958e-05,uSv/h*m,uSv
13.0,1.3,0.0001991269456117081,0,1.0523466591409427,3.6523466591409437,2.9231851642803966e-05,0.00010145407386502622,uSv/h*m,uSv
14.0,1.4,0.0001991269456117081,0,1.1331505844936884,3.9331505844936894,3.147640512482468e-05,0.00010925418290260248,uSv/h*m,uSv
15.0,1.5,0.0001991269456117081,0,1.2139311207719978,4.213931120771999,3.3720308910333276e-05,0.00011705364224366665,uSv/h*m,uSv
16.0,1.6,0.0001991269456117081,0,1.2946877597795936,4.494687759779595,3.596354888276649e-05,0.0001248524377716554,uSv/h*m,uSv
17.0,1.7,0.0001991269456117081,0,1.3754199942340968,4.775419994234098,3.820611095094713e-05,0.00013265055539539162,uSv/h*m,uSv
18.0,1.8,0.0001991269456117081,0,1.4561273177855862,5.056127317785587,4.044798104959962e-05,0.00014044798104959964,uSv/h*m,uSv
19.0,1.9,0.0001991269456117081,0,1.5368092250350824,5.336809225035084,4.26891451398634e-05,0.000148244700695419,uSv/h*m,uSv
20.0,2.0,0.00019912731055147235,0,1.617465211552922,5.617465211552923,4.492958920980339e-05,0.00015604070032091452,uSv/h*m,uSv
21.0,2.1,0.00021953154290138143,0,1.6980947738970475,5.898094773897048,4.716929927491799e-05,0.00016383596594158467,uSv/h*m,uSv
22.0,2.2,0.00023993577525129053,0,1.7786974096312043,6.178697409631205,4.9408261378644564e-05,0.0001716304836008668,uSv/h*m,uSv
23.0,2.3,0.00026034000760119964,0,1.8592726173430418,6.459272617343043,5.1646461592862274e-05,0.00017942423937064009,uSv/h*m,uSv
24.0,2.4,0.0002807442399511087,0,1.9398198966621205,6.739819896662121,5.388388601839224e-05,0.00018721721935172558,uSv/h*m,uSv
25.0,2.5,0.00030114847230101785,0,2.020338748277819,7.02033874827782,5.6120520785494974e-05,0.00019500940967438388,uSv/h*m,uSv
26.0,2.6,0.0003215527046509269,0,2.1008286739571433,7.300828673957144,5.835635205436509e-05,0.00020280079649880956,uSv/h*m,uSv
27.0,2.7,0.000341956937000836,0,2.1812891765624416,7.581289176562443,6.059136601562338e-05,0.0002105913660156234,uSv/h*m,uSv
28.0,2.8,0.00036236116935074513,0,2.261719760068997,7.861719760068998,6.282554889080547e-05,0.00021838110444636106,uSv/h*m,uSv
29.0,2.9,0.0003827654017006542,0,2.3421199295825286,8.14211992958253,6.505888693284802e-05,0.00022616999804395916,uSv/h*m,uSv
30.0,3.0,0.00040316943316805485,0,2.422489191356603,8.422489191356604,6.729136642657232e-05,0.000233958033093239,uSv/h*m,uSv
31.0,3.1,0.00041608593963458147,0,2.5028270528099177,8.70282705280992,6.952297368916437e-05,0.00024174519591138664,uSv/h*m,uSv
32.0,3.2,0.0004290024461011081,0,2.5831330225434814,8.983133022543484,7.175369507065227e-05,0.0002495314728484301,uSv/h*m,uSv
33.0,3.3,0.0004419189525676347,0,2.6634066103576894,9.263406610357691,7.398351695438026e-05,0.00025731685028771367,uSv/h*m,uSv
34.0,3.4,0.0004548354590341614,0,2.7436473272692843,9.543647327269285,7.621242575748012e-05,0.000265101314646369,uSv/h*m,uSv
35.0,3.5,0.000467751965500688,0,2.8238546855282047,9.823854685528206,7.844040793133902e-05,0.0002728848523757835,uSv/h*m,uSv
36.0,3.6,0.0004806684719672146,0,2.9040281986343226,10.104028198634323,8.066744996206452e-05,0.00028066744996206453,uSv/h*m,uSv
37.0,3.7,0.0004935849784337412,0,2.9841673813540712,10.384167381354072,8.289353837094642e-05,0.00028844909392650197,uSv/h*m,uSv
38.0,3.8,0.0005065014849002679,0,3.0642717497369354,10.664271749736937,8.511865971491487e-05,0.000296229770826026,uSv/h*m,uSv
39.0,3.9,0.0005194179913667945,0,3.1443408211318413,10.944340821131842,8.734280058699559e-05,0.0003040094672536623,uSv/h*m,uSv
40.0,4.0,0.0005323340357971373,0,3.224374114203436,11.224374114203437,8.956594761676212e-05,0.00031178816983898437,uSv/h*m,uSv
41.0,4.1,0.0005323340357971373,0,3.3043711489482317,11.504371148948232,9.178808747078422e-05,0.000319565865248562,uSv/h*m,uSv
42.0,4.2,0.0005323340357971373,0,3.3843314467106316,11.784331446710633,9.40092068530731e-05,0.00032734254018640645,uSv/h*m,uSv
43.0,4.3,0.0005323340357971373,0,3.4642545301988354,12.064254530198836,9.622929250552321e-05,0.0003351181813944121,uSv/h*m,uSv
44.0,4.4,0.0005323340357971373,0,3.5441399235006212,12.344139923500622,9.844833120835058e-05,0.00034289277565279505,uSv/h*m,uSv
45.0,4.5,0.0005323340357971373,0,3.6239871520990015,12.623987152099003,0.00010066630978052782,0.00035066630978052786,uSv/h*m,uSv
46.0,4.6,0.0005323340357971373,0,3.7037957428877544,12.903795742887755,0.0001028832150802154,0.000358438770635771,uSv/h*m,uSv
47.0,4.7,0.0005323340357971373,0,3.783565224186833,13.183565224186834,0.00010509903400518981,0.0003662101451163009,uSv/h*m,uSv
48.0,4.8,0.0005323340357971373,0,3.8632951257576282,13.463295125757629,0.00010731375349326745,0.00037398042015993413,uSv/h*m,uSv
49.0,4.9,0.0005323340357971373,0,3.942984978818114,13.742984978818114,0.0001095273605227254,0.00038174958274494764,uSv/h*m,uSv
50.0,5.0,0.0005323354672606387,0,4.022634316057878,14.022634316057877,0.00011173984211271883,0.0003895176198904966,uSv/h*m,uSv
51.0,5.1,0.0005643494232541321,0,4.102242671652995,14.302242671652994,0.0001139511853236943,0.0003972845186570276,uSv/h*m,uSv
52.0,5.2,0.0005963633792476254,0,4.181809581280785,14.581809581280785,0.00011616137725779957,0.00040505026614668846,uSv/h*m,uSv
53.0,5.3,0.0006283773352411187,0,4.261334582134427,14.861334582134427,0.00011837040505928962,0.0004128148495037341,uSv/h*m,uSv
54.0,5.4,0.000660391291234612,0,4.340817212937444,15.140817212937446,0.000120578255914929,0.00042057825591492907,uSv/h*m,uSv
55.0,5.5,0.0006924052472281054,0,4.420257013958055,15.420257013958055,0.0001227849170543904,0.000428340472609946,uSv/h*m,uSv
56.0,5.6,0.0007244192032215987,0,4.49965352702338,15.699653527023381,0.00012499037575064943,0.0004361014868617606,uSv/h*m,uSv
57.0,5.7,0.0007564331592150921,0,4.5790062955335245,15.979006295533525,0.00012719461932037568,0.00044386128598704235,uSv/h*m,uSv
58.0,5.8,0.0007884471152085855,0,4.658314864475515,16.258314864475516,0.00012939763512431987,0.0004516198573465421,uSv/h*m,uSv
59.0,5.9,0.0008204610712020788,0,4.737578780437089,16.53757878043709,0.00013159941056769693,0.00045937718834547476,uSv/h*m,uSv
60.0,6.0,0.00085247429724376,0,4.816797591620352,16.816797591620354,0.00013379993310056533,0.0004671332664338987,uSv/h*m,uSv
