path_distance_m,time_s,cumulative_sar_probability,cumulative_survivors_found,cumulative_uav_excess_distance_integral,cumulative_uav_total_distance_integral,cumulative_uav_excess_dose,cumulative_uav_total_dose,radiation_distance_integral_unit,radiation_dose_unit
0.0,0.0,0.00013220316497061812,0,0.0,0.0,0.0,0.0,uSv/h*m,uSv
1.0,0.1,0.00013889554901955667,0,2.229600750812163,2.4296007508121633,6.193335418922675e-05,6.748890974478232e-05,uSv/h*m,uSv
2.0,0.2,0.00014558793306849522,0,4.444143128947572,4.8441431289475725,0.00012344842024854366,0.0001345595313596548,uSv/h*m,uSv
3.0,0.3,0.0001522803171174338,0,6.643600312561542,7.243600312561543,0.0001845444531267095,0.0002012111197933762,uSv/h*m,uSv
4.0,0.4,0.00015897270116637234,0,8.827953619489854,9.627953619489855,0.00024522093387471816,0.0002674431560969404,uSv/h*m,uSv
5.0,0.5,0.0001656650852153109,0,10.997192259740125,11.997192259740126,0.000305477562770559,0.00033325534054833684,uSv/h*m,uSv
6.0,0.6,0.00017235746926424944,0,13.151313086451527,14.35131308645153,0.0003653142524014313,0.0003986475857347647,uSv/h*m,uSv
7.0,0.7,0.00017904985331318799,0,15.290320345949661,16.690320345949665,0.00042473112072082393,0.0004636200096097129,uSv/h*m,uSv
8.0,0.8,0.00018574223736212656,0,17.41422542749691,19.01422542749691,0.00048372848409713635,0.0005281729285415808,uSv/h*m,uSv
9.0,0.9,0.0001924346214110651,0,19.52304661330068,21.32304661330068,0.0005423068503694633,0.0005923068503694633,uSv/h*m,uSv
10.0,1.0,0.0001991269456117081,0,21.616808829304095,23.616808829304098,0.0006004669119251138,0.0006560224674806694,uSv/h*m,uSv
11.0,1.1,0.0001991269456117081,0,23.695543397257126,25.89554339725713,0.0006582095388126979,0.0007193206499238092,uSv/h*m,uSv
12.0,1.2,0.0001991269456117081,0,25.759287788528745,28.159287788528747,0.0007155357719035762,0.000782202438570243,uSv/h*m,uSv
13.0,1.3,0.0001991269456117081,0,27.808085380088578,30.40808538008858,0.0007724468161135716,0.0008446690383357939,uSv/h*m,uSv
14.0,1.4,0.0001991269456117081,0,29.84198521305415,32.641985213054156,0.0008289440336959487,0.0009067218114737265,uSv/h*m,uSv
15.0,1.5,0.0001991269456117081,0,31.861041754168216,34.86104175416822,0.0008850289376157838,0.0009683622709491173,uSv/h*m,uSv
16.0,1.6,0.0001991269456117081,0,33.865314660540506,37.06531466054051,0.000940703185015014,0.001029592073903903,uSv/h*m,uSv
