test_id,seed,Y,sigma_m,influence_radius_m,scenario,scenario_id,scenario_type,radiation_quantity,radiation_rate_unit,radiation_dose_unit,old_uav_sensing_height_m,new_uav_sensing_height_m,old_uav_evaluation_height_m,new_uav_evaluation_height_m,old_survivor_evaluation_height_m,new_survivor_evaluation_height_m,old_sar_likelihood_score,new_sar_likelihood_score,absolute_delta_new_minus_old_sar_likelihood_score,relative_delta_percent_new_vs_old_sar_likelihood_score,original_sar_likelihood_score,relative_delta_percent_new_vs_original_sar_likelihood_score,old_sar_time_discounted_score,new_sar_time_discounted_score,absolute_delta_new_minus_old_sar_time_discounted_score,relative_delta_percent_new_vs_old_sar_time_discounted_score,original_sar_time_discounted_score,relative_delta_percent_new_vs_original_sar_time_discounted_score,old_survivors_found,new_survivors_found,absolute_delta_new_minus_old_survivors_found,relative_delta_percent_new_vs_old_survivors_found,original_survivors_found,relative_delta_percent_new_vs_original_survivors_found,old_route_distance_m,new_route_distance_m,absolute_delta_new_minus_old_route_distance_m,relative_delta_percent_new_vs_old_route_distance_m,original_route_distance_m,relative_delta_percent_new_vs_original_route_distance_m,old_uav_excess_exposure_distance_integral,new_uav_excess_exposure_distance_integral,absolute_delta_new_minus_old_uav_excess_exposure_distance_integral,relative_delta_percent_new_vs_old_uav_excess_exposure_distance_integral,original_uav_excess_exposure_distance_integral,relative_delta_percent_new_vs_original_uav_excess_exposure_distance_integral,old_uav_total_exposure_distance_integral,new_uav_total_exposure_distance_integral,absolute_delta_new_minus_old_uav_total_exposure_distance_integral,relative_delta_percent_new_vs_old_uav_total_exposure_distance_integral,original_uav_total_exposure_distance_integral,relative_delta_percent_new_vs_original_uav_total_exposure_distance_integral,old_uav_cumulative_excess_dose,new_uav_cumulative_excess_dose,absolute_delta_new_minus_old_uav_cumulative_excess_dose,relative_delta_percent_new_vs_old_uav_cumulative_excess_dose,original_uav_cumulative_excess_dose,relative_delta_percent_new_vs_original_uav_cumulative_excess_dose,old_uav_cumulative_total_dose,new_uav_cumulative_total_dose,absolute_delta_new_minus_old_uav_cumulative_total_dose,relative_delta_percent_new_vs_old_uav_cumulative_total_dose,original_uav_cumulative_total_dose,relative_delta_percent_new_vs_original_uav_cumulative_total_dose,old_survivor_total_pre_discovery_dose,new_survivor_total_pre_discovery_dose,absolute_delta_new_minus_old_survivor_total_pre_discovery_dose,relative_delta_percent_new_vs_old_survivor_total_pre_discovery_dose,original_survivor_total_pre_discovery_dose,relative_delta_percent_new_vs_original_survivor_total_pre_discovery_dose,old_survivor_mean_pre_discovery_dose,new_survivor_mean_pre_discovery_dose,absolute_delta_new_minus_old_survivor_mean_pre_discovery_dose,relative_delta_percent_new_vs_old_survivor_mean_pre_discovery_dose,original_survivor_mean_pre_discovery_dose,relative_delta_percent_new_vs_original_survivor_mean_pre_discovery_dose,old_survivor_p95_pre_discovery_dose,new_survivor_p95_pre_discovery_dose,absolute_delta_new_minus_old_survivor_p95_pre_discovery_dose,relative_delta_percent_new_vs_old_survivor_p95_pre_discovery_dose,original_survivor_p95_pre_discovery_dose,relative_delta_percent_new_vs_original_survivor_p95_pre_discovery_dose,old_survivor_max_pre_discovery_dose,new_survivor_max_pre_discovery_dose,absolute_delta_new_minus_old_survivor_max_pre_discovery_dose,relative_delta_percent_new_vs_old_survivor_max_pre_discovery_dose,original_survivor_max_pre_discovery_dose,relative_delta_percent_new_vs_original_survivor_max_pre_discovery_dose,old_radiation_episodes,new_radiation_episodes,absolute_delta_new_minus_old_radiation_episodes,relative_delta_percent_new_vs_old_radiation_episodes,old_radiation_steps,new_radiation_steps,absolute_delta_new_minus_old_radiation_steps,relative_delta_percent_new_vs_old_radiation_steps,old_radiation_priority_decisions,new_radiation_priority_decisions,absolute_delta_new_minus_old_radiation_priority_decisions,relative_delta_percent_new_vs_old_radiation_priority_decisions,new_final_entry_threshold,new_final_exit_threshold
T01,42,10.0,15.0,45.0,Single,single_point_formal_first_run,point_only,synthetic_gamma_dose_rate,uSv/h,uSv,1.0,50.0,50.0,50.0,1.0,1.0,0.9012718289042098,0.9227936112464239,0.021521782342214135,2.3879346554502754,0.9357528759397921,-1.3849024701476833,0.11728840082793318,0.11698872644758788,-0.0002996743803452967,-0.2555021453356936,0.13976034472876997,-16.293332937446955,88.0,92.0,4.0,4.545454545454546,93.0,-1.075268817204301,87441.88160522314,87715.26255639493,273.38095117178455,0.3126430334676773,87209.92201030577,0.5794530420855492,27470.212991424643,30738.731759630893,3268.5187682062497,11.898410723013255,21747.443070913818,41.344118751792486,44958.58931246968,48281.78427091019,3323.1949584405083,7.391679786355729,39189.42747297483,23.201045241616463,0.7630614719840179,0.853853659989747,0.09079218800572919,11.898410723013258,0.6040956408587171,41.34411875179249,1.2488497031241579,1.3411606741919497,0.09231097106779185,7.391679786355724,1.0885952075826342,23.20104524161646,28.963769568415408,25.58181300521526,-3.3819565632001485,-11.676506938130476,28.105909664726678,-8.980661681550894,0.2896376956841541,0.2558181300521526,-0.0338195656320015,-11.676506938130482,0.2810590966472668,-8.980661681550904,0.7365968775797249,0.7144771730319497,-0.022119704547775232,-3.002959314795782,0.8893852539876391,-19.666177302971153,0.9406039010907945,1.281084315910654,0.34048041481985947,36.198065351952394,2.736851811904913,-53.1913160099454,11.0,18.0,7.0,63.63636363636363,825.0,1084.0,259.0,31.393939393939394,640.0,639.0,-1.0,-0.15625,1.9000000000000001,1.7100000000000002
T01,42,10.0,15.0,45.0,Multi,final_three_point_stress_scenario,multi_point,synthetic_gamma_dose_rate,uSv/h,uSv,1.0,50.0,50.0,50.0,1.0,1.0,0.9526268417216063,0.7938960579961621,-0.15873078372544414,-16.662430321465926,0.9357528759397921,-15.159645413983982,0.11708957608710677,0.11712582535091287,3.624926380610405e-05,0.030958574637879835,0.13976034472876997,-16.195237226828144,100.0,86.0,-14.0,-14.0,93.0,-7.526881720430108,87176.78492533758,87069.08939911929,-107.69552621828916,-0.12353693280903262,87209.92201030577,-0.16148691334667814,81119.08547441574,63113.01554121187,-18006.06993320387,-22.19708201577646,80460.88172696209,-21.56062152614595,98554.44245948333,80526.83342103609,-18027.609038447234,-18.29203087000219,97902.86612902523,-17.748236997565975,2.2533079298448815,1.7531393205892185,-0.500168609255663,-22.19708201577646,2.2350244924156137,-21.560621526145958,2.7376234016523147,2.236856483917669,-0.5007669177346457,-18.292030870002197,2.71952405913959,-17.748236997565986,50.46523374979267,56.15974201921481,5.694508269422144,11.28402237797133,102.76494167656395,-45.35126366736185,0.5046523374979267,0.5615974201921481,0.05694508269422138,11.284022377971317,1.0276494167656396,-45.35126366736185,0.9612067966156833,1.5053502484010564,0.544143451785373,56.610445712748785,2.7368755653360126,-44.9974902963394,2.821301581533106,2.8652691375814667,0.04396755604836056,1.5584139014471616,30.526366286382654,-90.61378904157479,1.0,1.0,0.0,0.0,3600.0,3600.0,0.0,0.0,1226.0,1016.0,-210.0,-17.128874388254488,0.1,0.09000000000000001
T01,42,10.0,15.0,45.0,Surface,final_uniform_cs137_surface,surface_only,collision_air_kerma_rate,uGy/h,uGy,1.0,50.0,50.0,50.0,1.0,1.0,0.9516152431170376,0.9171957689935397,-0.034419474123497884,-3.616952793941815,0.9357528759397921,-1.9831204822763846,0.12623603325222282,0.13292728891766895,0.006691255665446122,5.300590879687119,0.13976034472876997,-4.88912346657544,94.0,91.0,-3.0,-3.1914893617021276,93.0,-2.150537634408602,87748.3996413727,86895.11970289561,-853.2799384770915,-0.9724165249331528,87209.92201030577,-0.3609707475405893,882.9909201373154,933.7827706873431,50.79185055002779,5.752250605490832,876.300464309418,6.55965718598871,882.9909201373154,933.7827706873431,50.79185055002779,5.752250605490832,876.300464309418,6.55965718598871,0.02452752555936987,0.02593841029687064,0.00141088473750077,5.752250605490824,0.0243416795641505,6.559657185988706,0.02452752555936987,0.02593841029687064,0.00141088473750077,5.752250605490824,0.0243416795641505,6.559657185988706,0.8783391592488603,0.8992996680514618,0.020960508802601474,2.386379860431877,1.4909957684634372,-39.68462640385322,0.008783391592488603,0.008992996680514618,0.00020960508802601516,2.3863798604318815,0.014909957684634371,-39.684626403853215,0.011545486466153802,0.006584372015959416,-0.004961114450194386,-42.97016383621559,0.004854186327141089,35.64316596469285,0.541048792723113,0.5938129077366373,0.05276411501352429,9.752191618053724,1.201371026921282,-50.572063548229224,17.0,1.0,-16.0,-94.11764705882354,167.0,6.0,-161.0,-96.40718562874251,13.0,4.0,-9.0,-69.23076923076923,0.2,0.18000000000000002
T02,42,10.0,40.0,120.0,Single,single_point_formal_first_run,point_only,synthetic_gamma_dose_rate,uSv/h,uSv,1.0,50.0,50.0,50.0,1.0,1.0,0.9012718289042098,0.9032123926357869,0.0019405637315771385,0.21531392298553562,0.9357528759397921,-3.4774654869560746,0.11728840082793318,0.11417908156393906,-0.0031093192639941175,-2.651003204106785,0.13976034472876997,-18.303663470833545,88.0,93.0,5.0,5.681818181818182,93.0,0.0,87441.88160522314,87118.795026582,-323.086578641145,-0.36948722135211487,87209.92201030577,-0.10449153218255275,27470.212991424643,33478.92105557096,6008.708064146314,21.87354013608139,21747.443070913818,53.9441714890494,44958.58931246968,50902.680060886436,5944.090748416755,13.2212572487636,39189.42747297483,29.888807627998926,0.7630614719840179,0.9299700293214155,0.16690855733739762,21.873540136081395,0.6040956408587171,53.944171489049396,1.2488497031241579,1.4139633350246232,0.16511363190046535,13.221257248763594,1.0885952075826342,29.888807627998922,28.963769568415408,29.255292697749987,0.29152312933457836,1.0065096279887558,28.105909664726678,4.089471028457055,0.2896376956841541,0.29255292697749985,0.0029152312933457547,1.0065096279887458,0.2810590966472668,4.089471028457039,0.7365968775797249,0.7087607014352809,-0.027836176144444003,-3.779024455806382,0.8893852539876391,-20.30892144236839,0.9406039010907945,1.7294270500734548,0.7888231489826603,83.86347835341552,2.736851811904913,-36.80962036195401,11.0,15.0,4.0,36.36363636363637,825.0,866.0,41.0,4.96969696969697,640.0,602.0,-38.0,-5.9375,1.6,1.4400000000000002
T02,42,10.0,40.0,120.0,Multi,final_three_point_stress_scenario,multi_point,synthetic_gamma_dose_rate,uSv/h,uSv,1.0,50.0,50.0,50.0,1.0,1.0,0.9526268417216063,0.9712057433942118,0.018578901672605563,1.950281144611609,0.9357528759397921,3.7886998123103686,0.11708957608710677,0.11217269935865348,-0.004916876728453284,-4.199243769398788,0.13976034472876997,-19.739251089896253,100.0,98.0,-2.0,-2.0,93.0,5.376344086021505,87176.78492533758,86630.02302300114,-546.7619023364387,-0.6271875050275277,87209.92201030577,-0.6649461138562992,81119.08547441574,99887.60935740855,18768.523882992813,23.137001327403084,80460.88172696209,24.144313626054444,98554.44245948333,117213.61396200772,18659.17150252439,18.932856842242657,97902.86612902523,19.72439479711762,2.2533079298448815,2.774655815483571,0.5213478856386895,23.137001327403098,2.2350244924156137,24.144313626054448,2.7376234016523147,3.255933721166881,0.5183103195145664,18.932856842242654,2.71952405913959,19.72439479711762,50.46523374979267,59.59019806298421,9.12496431319154,18.081684429390023,102.76494167656395,-42.013105743265314,0.5046523374979267,0.5959019806298421,0.09124964313191541,18.081684429390023,1.0276494167656396,-42.01310574326532,0.9612067966156833,1.6041778868398662,0.6429710902241829,66.89206656549061,2.7368755653360126,-41.38652457723566,2.821301581533106,3.503219518152924,0.681917936619818,24.17033120752944,30.526366286382654,-88.52395504500103,1.0,1.0,0.0,0.0,3600.0,3600.0,0.0,0.0,1226.0,1248.0,22.0,1.7944535073409462,0.1,0.09000000000000001
T02,42,10.0,40.0,120.0,Surface,final_uniform_cs137_surface,surface_only,collision_air_kerma_rate,uGy/h,uGy,1.0,50.0,50.0,50.0,1.0,1.0,0.9516152431170376,0.9244503537262914,-0.02716488939074624,-2.854608476191178,0.9357528759397921,-1.2078533236832842,0.12623603325222282,0.14620402822165268,0.01996799496942986,15.817983546372448,0.13976034472876997,4.610523468146731,94.0,93.0,-1.0,-1.0638297872340425,93.0,0.0,87748.3996413727,87334.1860790113,-414.2135623614013,-0.47204685675669317,87209.92201030577,0.14248845296621182,882.9909201373154,676.6454113469244,-206.3455087903909,-23.368927594216007,876.300464309418,-22.78385794532641,882.9909201373154,676.6454113469244,-206.3455087903909,-23.368927594216007,876.300464309418,-22.78385794532641,0.02452752555936987,0.0187957058707479,-0.005731819688621971,-23.36892759421601,0.0243416795641505,-22.78385794532641,0.02452752555936987,0.0187957058707479,-0.005731819688621971,-23.36892759421601,0.0243416795641505,-22.78385794532641,0.8783391592488603,0.9358093000297133,0.057470140780852996,6.543046632464892,1.4909957684634372,-37.2359519843492,0.008783391592488603,0.009358093000297133,0.0005747014078085304,6.543046632464897,0.014909957684634371,-37.23595198434919,0.011545486466153802,0.005685531572000893,-0.005859954894152909,-50.75537450354884,0.004854186327141089,17.126356279558607,0.541048792723113,0.6257407440827248,0.08469195135961183,15.653292734164506,1.201371026921282,-47.91444690602435,17.0,1.0,-16.0,-94.11764705882354,167.0,5.0,-162.0,-97.0059880239521,13.0,3.0,-10.0,-76.92307692307692,0.2,0.18000000000000002
T03,42,10.0,50.0,150.0,Single,single_point_formal_first_run,point_only,synthetic_gamma_dose_rate,uSv/h,uSv,1.0,50.0,50.0,50.0,1.0,1.0,0.9012718289042098,0.9548111399893305,0.05353931108512078,5.940417681779236,0.9357528759397921,2.036677047922289,0.11728840082793318,0.1170168557357028,-0.00027154509223038803,-0.23151913600455312,0.13976034472876997,-16.27320613526319,88.0,95.0,7.0,7.954545454545454,93.0,2.150537634408602,87441.88160522314,86522.32749676057,-919.5541084625729,-1.0516174761816257,87209.92201030577,-0.7884361064603994,27470.212991424643,19468.902209186017,-8001.310782238626,-29.127225131950706,21747.443070913818,-10.477281647768708,44958.58931246968,36773.3677085376,-8185.221603932085,-18.20613531052639,39189.42747297483,-6.165080533782627,0.7630614719840179,0.540802839144056,-0.22225863283996183,-29.127225131950706,0.6040956408587171,-10.477281647768704,1.2488497031241579,1.0214824363482666,-0.22736726677589125,-18.206135310526385,1.0885952075826342,-6.165080533782625,28.963769568415408,27.520981356626564,-1.4427882117888444,-4.9813550973771905,28.105909664726678,-2.0811577176390323,0.2896376956841541,0.2752098135662656,-0.01442788211788848,-4.981355097377203,0.2810590966472668,-2.0811577176390497,0.7365968775797249,0.7608710396722682,0.024274162092543294,3.2954473242273554,0.8893852539876391,-14.449780198082419,0.9406039010907945,4.0058835195162725,3.0652796184254782,325.8842127776369,2.736851811904913,46.36830178715756,11.0,7.0,-4.0,-36.36363636363637,825.0,827.0,2.0,0.24242424242424243,640.0,688.0,48.0,7.5,0.8,0.7200000000000001
T03,42,10.0,50.0,150.0,Multi,final_three_point_stress_scenario,multi_point,synthetic_gamma_dose_rate,uSv/h,uSv,1.0,50.0,50.0,50.0,1.0,1.0,0.9526268417216063,0.9445335335208036,-0.008093308200802674,-0.8495780137977517,0.9357528759397921,0.9383521875038837,0.11708957608710677,0.11726737861253561,0.000177802525428844,0.15185171163022307,0.13976034472876997,-16.093954375889666,100.0,99.0,-1.0,-1.0,93.0,6.451612903225806,87176.78492533758,86406.34769931545,-770.437226022128,-0.8837642116326816,87209.92201030577,-0.9214253292135348,81119.08547441574,101847.85022937665,20728.76475496091,25.55349907328354,80460.88172696209,26.580579336664012,98554.44245948333,119129.11976924063,20574.677309757302,20.876458530233936,97902.86612902523,21.680931804633296,2.2533079298448815,2.8291069508160183,0.5757990209711368,25.553499073283557,2.2350244924156137,26.58057933666402,2.7376234016523147,3.3091422158122397,0.571518814159925,20.876458530233933,2.71952405913959,21.680931804633293,50.46523374979267,64.12899372684886,13.663759977056195,27.075590385256724,102.76494167656395,-37.59642862574232,0.5046523374979267,0.6412899372684886,0.1366375997705619,27.07559038525671,1.0276494167656396,-37.596428625742334,0.9612067966156833,2.0406112890774337,1.0794044924617503,112.29680192256544,2.7368755653360126,-25.44011445303312,2.821301581533106,5.078623753160651,2.2573221716275444,80.00995662437856,30.526366286382654,-83.36315660529125,1.0,1.0,0.0,0.0,3600.0,3600.0,0.0,0.0,1226.0,1224.0,-2.0,-0.1631321370309951,0.1,0.09000000000000001
T03,42,10.0,50.0,150.0,Surface,final_uniform_cs137_surface,surface_only,collision_air_kerma_rate,uGy/h,uGy,1.0,50.0,50.0,50.0,1.0,1.0,0.9516152431170376,0.9171957689935397,-0.034419474123497884,-3.616952793941815,0.9357528759397921,-1.9831204822763846,0.12623603325222282,0.13292728891766895,0.006691255665446122,5.300590879687119,0.13976034472876997,-4.88912346657544,94.0,91.0,-3.0,-3.1914893617021276,93.0,-2.150537634408602,87748.3996413727,86895.11970289561,-853.2799384770915,-0.9724165249331528,87209.92201030577,-0.3609707475405893,882.9909201373154,933.7827706873431,50.79185055002779,5.752250605490832,876.300464309418,6.55965718598871,882.9909201373154,933.7827706873431,50.79185055002779,5.752250605490832,876.300464309418,6.55965718598871,0.02452752555936987,0.02593841029687064,0.00141088473750077,5.752250605490824,0.0243416795641505,6.559657185988706,0.02452752555936987,0.02593841029687064,0.00141088473750077,5.752250605490824,0.0243416795641505,6.559657185988706,0.8783391592488603,0.8992996680514618,0.020960508802601474,2.386379860431877,1.4909957684634372,-39.68462640385322,0.008783391592488603,0.008992996680514618,0.00020960508802601516,2.3863798604318815,0.014909957684634371,-39.684626403853215,0.011545486466153802,0.006584372015959416,-0.004961114450194386,-42.97016383621559,0.004854186327141089,35.64316596469285,0.541048792723113,0.5938129077366373,0.05276411501352429,9.752191618053724,1.201371026921282,-50.572063548229224,17.0,1.0,-16.0,-94.11764705882354,167.0,6.0,-161.0,-96.40718562874251,13.0,4.0,-9.0,-69.23076923076923,0.2,0.18000000000000002
T04,42,0.2,15.0,45.0,Single,single_point_formal_first_run,point_only,synthetic_gamma_dose_rate,uSv/h,uSv,1.0,50.0,50.0,50.0,1.0,1.0,0.9012718289042098,0.8829089191491375,-0.018362909755072265,-2.0374441057808697,0.9357528759397921,-5.647212864569879,0.11728840082793318,0.11725366192142749,-3.473890650569633e-05,-0.02961836486854289,0.13976034472876997,-16.103768812978203,88.0,90.0,2.0,2.272727272727273,93.0,-3.225806451612903,87441.88160522314,86903.40397416322,-538.4776310599264,-0.6158120355769673,87209.92201030577,-0.3514715173192533,27470.212991424643,24311.932050524152,-3158.2809409004913,-11.497111223296338,21747.443070913818,11.792140212750885,44958.58931246968,41692.612845355856,-3265.9764671138255,-7.264410465405721,39189.42747297483,6.3873996988275294,0.7630614719840179,0.6753314458478931,-0.0877300261361248,-11.497111223296343,0.6040956408587171,11.79214021275088,1.2488497031241579,1.1581281345932182,-0.09072156853093971,-7.264410465405731,1.0885952075826342,6.387399698827521,28.963769568415408,22.873050758694436,-6.090718809720972,-21.028750402581636,28.105909664726678,-18.618358090716967,0.2896376956841541,0.22873050758694435,-0.06090718809720974,-21.02875040258164,0.2810590966472668,-18.618358090716978,0.7365968775797249,0.6105151258557586,-0.1260817517239663,-17.116791499067947,0.8893852539876391,-31.35538023387965,0.9406039010907945,1.2692270944178055,0.32862319332701095,34.93746867793287,2.736851811904913,-53.62455910484997,11.0,1.0,-10.0,-90.9090909090909,825.0,3600.0,2775.0,336.3636363636364,640.0,1112.0,472.0,73.75,0.002,0.0018000000000000002
