Dataset,Algorithm,Environment Type,Climate,Environment Size,n_agents,Budget (m),Likelihood Score,Time-Discounted Score,Victims Found (%),Area Covered (km²),Total Path Length (km)
11,Greedy,flat,temperate,medium,5,300000,0.2727067150443385,0.012620277282750303,84.0,8.107193630003625,300.00000000000034
11,Spiral,flat,temperate,medium,5,300000,0.3053462448148192,0.007432441973688926,98.0,10.181000091427325,153.61823856611556
11,Concentric,flat,temperate,medium,5,300000,0.30593762234404487,0.007594610345265911,100.0,10.431351366554349,158.31540986329628
11,Pizza,flat,temperate,medium,5,300000,0.3061591207036002,0.009871908081720018,100.0,10.434630900816268,162.30760897707617
12,RandomWalk,flat,temperate,medium,5,300000,0.1140458108813789,0.009002751787453925,28.999999999999996,3.1324513256583466,299.99999999999994
12,Greedy,flat,temperate,medium,5,300000,0.2984905673405774,0.010159823195236506,88.0,8.953628703099776,299.9999999999998
12,Spiral,flat,temperate,medium,5,300000,0.3101687913358398,0.006670979628708394,97.0,10.181000091427325,153.61823856611556
12,Concentric,flat,temperate,medium,5,300000,0.3108326302137955,0.006619678557512584,100.0,10.431351366554349,158.31540986329628
12,Pizza,flat,temperate,medium,5,300000,0.3111533371603967,0.00822475591730973,100.0,10.434630900816268,162.30760897707617
13,RandomWalk,flat,temperate,medium,5,300000,0.12432506776684,0.006799554599529876,21.0,3.090167852955452,299.99999999999903
13,Greedy,flat,temperate,medium,5,300000,0.27497626677677706,0.010862212382559243,75.0,7.741573339496646,300.0000000000001
13,Spiral,flat,temperate,medium,5,300000,0.3247863125978066,0.007097449946332914,98.0,10.181000091427068,153.61823856611545
13,Concentric,flat,temperate,medium,5,300000,0.3256516742473781,0.007215020144808873,100.0,10.431351366502815,158.31540986329608
13,Pizza,flat,temperate,medium,5,300000,0.3258623334578928,0.009264372533247476,100.0,10.434630900816662,162.3076089770763
14,RandomWalk,flat,temperate,medium,5,300000,0.10414633211369578,0.009071348261891826,26.0,2.763893951268676,300.0
14,Greedy,flat,temperate,medium,5,300000,0.27793827937294185,0.012905853977686487,90.0,7.512899887119957,300.0000000000006
14,Spiral,flat,temperate,medium,5,300000,0.29248292928861874,0.008869045731802628,98.0,10.181000091427041,153.61823856611545
14,Concentric,flat,temperate,medium,5,300000,0.2939260412581066,0.009070232704743265,100.0,10.431351366502804,158.31540986329608
14,Pizza,flat,temperate,medium,5,300000,0.29415156429336237,0.0112342233850528,100.0,10.43463090081667,162.3076089770763
15,RandomWalk,flat,temperate,medium,5,300000,0.12482110508188482,0.00964644906478591,26.0,3.1505734777425074,299.9999999999998
15,Greedy,flat,temperate,medium,5,300000,0.26615537696942587,0.01899259963949268,56.00000000000001,5.665295384161636,299.9999999999996
15,Spiral,flat,temperate,medium,5,300000,0.32908276411504617,0.008279556430217215,99.0,10.181000091427041,153.61823856611545
15,Concentric,flat,temperate,medium,5,300000,0.32851635114484146,0.00813211273498389,100.0,10.431351366502804,158.31540986329608
15,Pizza,flat,temperate,medium,5,300000,0.3289674259349166,0.008503331389108403,100.0,10.43463090081667,162.3076089770763
16,RandomWalk,mountainous,temperate,medium,5,300000,0.044016273831043555,0.0002394334114197052,13.0,3.8506772770246,299.9999999999999
16,Greedy,mountainous,temperate,medium,5,300000,0.13981549532708995,0.0011603018712142245,53.0,9.828310609826175,300.0
16,Spiral,mountainous,temperate,medium,5,300000,0.17949118353401924,8.642064853491971e-05,68.0,19.896533265788104,299.99999999999966
16,Concentric,mountainous,temperate,medium,5,300000,0.1767329178952056,7.269744594562366e-05,67.0,19.830511227949057,300.00000000000057
16,Pizza,mountainous,temperate,medium,5,300000,0.19945883579780901,0.0009405080204323745,74.0,19.436370453994805,299.9999999999999
17,RandomWalk,mountainous,temperate,medium,5,300000,0.03318085859455748,0.00096301685167499,6.0,3.097222309061464,300.0000000000004
17,Greedy,mountainous,temperate,medium,5,300000,0.13791555445420137,0.003600128610656882,49.0,13.585261679154776,299.99999999999915
17,Spiral,mountainous,temperate,medium,5,300000,0.16753398218403914,0.0011522494146454572,66.0,19.896533265787845,299.9999999999986
17,Concentric,mountainous,temperate,medium,5,300000,0.16773006864157522,0.001188536568718081,62.0,19.830511227949103,299.9999999999998
17,Pizza,mountainous,temperate,medium,5,300000,0.1788793588538436,0.0015827681197056243,59.0,19.4363704539946,300.0000000000006
18,RandomWalk,mountainous,temperate,medium,5,300000,0.021400357496583124,0.0009193660498799635,9.0,3.1973760076860325,300.0000000000004
18,Greedy,mountainous,temperate,medium,5,300000,0.11067176861845036,0.00025165381745817327,46.0,9.61097132545235,300.0000000000001
18,Spiral,mountainous,temperate,medium,5,300000,0.12978638873074108,0.0004545591043973658,64.0,19.896533265787923,299.99999999999983
18,Concentric,mountainous,temperate,medium,5,300000,0.12672553355350802,0.0003952741735190911,64.0,19.830511227949085,299.99999999999983
18,Pizza,mountainous,temperate,medium,5,300000,0.14482562699744553,0.0005214845800716078,71.0,19.436370453994584,300.0000000000006
19,RandomWalk,mountainous,temperate,medium,5,300000,0.04769121274909642,0.0021092415356051986,13.0,3.0400886113427106,300.0000000000007
19,Greedy,mountainous,temperate,medium,5,300000,0.158605431503784,0.00396294640327861,39.0,11.120334693148727,300.00000000000006
19,Spiral,mountainous,temperate,medium,5,300000,0.19936665570272372,0.0015061193528889737,62.0,19.896533265787845,299.9999999999986
19,Concentric,mountainous,temperate,medium,5,300000,0.19981869746778222,0.001614714897811832,60.0,19.830511227949103,299.9999999999998
19,Pizza,mountainous,temperate,medium,5,300000,0.22148837965245682,0.0027529608710610584,55.00000000000001,19.4363704539946,300.0000000000006
20,RandomWalk,mountainous,temperate,medium,5,300000,0.04276071597490582,0.0020695267750350773,11.0,3.785518282372218,300.0000000000007
20,Greedy,mountainous,temperate,medium,5,300000,0.16895177945975695,0.0046872675596164514,55.00000000000001,13.477717747193152,299.99999999999966
20,Spiral,mountainous,temperate,medium,5,300000,0.17606846135889834,0.0019702963609391044,67.0,19.896533265787845,299.9999999999986
20,Concentric,mountainous,temperate,medium,5,300000,0.1775770486590043,0.0020741525787136765,65.0,19.830511227949103,299.9999999999998
20,Pizza,mountainous,temperate,medium,5,300000,0.1980467909087796,0.003195622805910304,69.0,19.4363704539946,300.0000000000006
21,RandomWalk,mountainous,temperate,medium,5,300000,0.05976741038649298,0.0025744194667400517,9.0,4.373078759161841,300.00000000000017
21,Greedy,mountainous,temperate,medium,5,300000,0.15838150420870095,0.0032206800187761474,36.0,11.163601054995658,300.0
21,Spiral,mountainous,temperate,medium,5,300000,0.20340344667354215,0.0014392142561766696,63.0,19.896533265787948,299.9999999999991
21,Concentric,mountainous,temperate,medium,5,300000,0.20307664868027256,0.0014768958809351213,67.0,19.83051122794908,300.0000000000007
21,Pizza,mountainous,temperate,medium,5,300000,0.22604399161855954,0.002101427720172899,62.0,19.43637045399479,299.99999999999983
22,RandomWalk,mountainous,temperate,medium,5,300000,0.022189506808220856,0.0016274853841964903,4.0,3.54635836096525,299.9999999999993
22,Greedy,mountainous,temperate,medium,5,300000,0.11031691801613919,0.003400566270753204,43.0,9.90315816728876,300.00000000000034
22,Spiral,mountainous,temperate,medium,5,300000,0.15505393521687824,0.0007920732878247136,69.0,19.896533265787923,299.99999999999983
22,Concentric,mountainous,temperate,medium,5,300000,0.1503870621968666,0.0008454587082916672,60.0,19.830511227949085,299.99999999999983
22,Pizza,mountainous,temperate,medium,5,300000,0.15580387252472835,0.0011998485124632685,53.0,19.436370453994584,300.0000000000006
