survivor_id,x_m,y_m,found,first_discovery_distance_m,first_discovery_fraction_of_mission,exposure_end_distance_m,radiation_quantity,radiation_rate_unit,radiation_dose_unit,ground_truth_excess_rate,ground_truth_total_rate,excess_exposure_distance_integral,total_exposure_distance_integral,distance_integral_unit,first_discovery_time_s,exposure_end_time_s,pre_discovery_excess_dose,pre_discovery_total_dose
69,523057.0620742013,5697099.501879108,True,4169.885998272395,0.04804712247001289,4169.885998272395,synthetic_gamma_dose_rate,uSv/h,uSv,1.4547819278474923,1.6547819278474922,6066.27479147098,6900.2519911254585,uSv/h*m,416.9885998272395,416.9885998272395,0.16850763309641612,0.19167366642015163
70,523193.7340869445,5696585.5976204695,True,63198.05821195754,0.728193730964098,63198.05821195754,synthetic_gamma_dose_rate,uSv/h,uSv,0.3068673660044751,0.5068673660044751,19393.4216601009,32033.033302492408,uSv/h*m,6319.805821195754,6319.805821195754,0.538706157225025,0.8898064806247891
71,522602.99009687745,5697268.728193819,True,2530.901792731927,0.029162079837517528,2530.901792731927,synthetic_gamma_dose_rate,uSv/h,uSv,0.568235930289613,0.7682359302896129,1438.1493346646757,1944.3296932110609,uSv/h*m,253.0901792731927,253.0901792731927,0.03994859262957433,0.05400915814475169
72,523235.0931901159,5697087.828937125,True,13613.266776024395,0.15685759665266377,13613.266776024395,synthetic_gamma_dose_rate,uSv/h,uSv,0.634339408491836,0.8343394084918361,8635.431594344878,11358.084949549759,uSv/h*m,1361.3266776024395,1361.3266776024395,0.23987309984291327,0.3155023597097155
73,523324.7786641355,5696735.224865026,True,63381.599519596886,0.7303085685616024,63381.599519596886,synthetic_gamma_dose_rate,uSv/h,uSv,0.30805194186303114,0.5080519418630312,19524.82481039678,32201.14471431616,uSv/h*m,6338.159951959688,6338.159951959688,0.542356244733244,0.8944762420643377
74,523078.75877338107,5696748.782502631,True,9986.121345215095,0.11506415174725278,9986.121345215095,synthetic_gamma_dose_rate,uSv/h,uSv,0.7904384292547627,0.9904384292547628,7893.414070459277,9890.638339502297,uSv/h*m,998.6121345215095,998.6121345215095,0.21926150195720215,0.2747399538750638
75,522733.3042571091,5697504.215260472,True,60613.631325940085,0.6984149132317378,60613.631325940085,synthetic_gamma_dose_rate,uSv/h,uSv,0.192597853876503,0.39259785387650303,11674.055309037632,23796.781574225653,uSv/h*m,6061.363132594009,6061.363132594009,0.3242793141399342,0.661021710395157
76,522778.1583192075,5697514.587236744,True,61064.58286488784,0.7036109602768704,61064.58286488784,synthetic_gamma_dose_rate,uSv/h,uSv,0.1847702189312771,0.3847702189312771,11282.916344892437,23495.832917870008,uSv/h*m,6106.458286488783,6106.458286488783,0.3134143429136788,0.6526620254963891
77,522638.6940012301,5697329.766779418,True,14393.69583188479,0.16585001765448884,14393.69583188479,synthetic_gamma_dose_rate,uSv/h,uSv,0.3913720137104623,0.5913720137104623,5633.289722460639,8512.028888837596,uSv/h*m,1439.369583188479,1439.369583188479,0.15648027006835108,0.23644524691215546
78,522751.01258016465,5696946.41042006,True,3573.103760199024,0.041170754796527494,3573.103760199024,synthetic_gamma_dose_rate,uSv/h,uSv,1.10505622530491,1.30505622530491,3948.480553868314,4663.101305908119,uSv/h*m,357.3103760199024,357.3103760199024,0.10968001538523095,0.12953059183078108
79,523404.30215464113,5697325.287066394,False,,,86787.42417664865,synthetic_gamma_dose_rate,uSv/h,uSv,0.1559928289441135,0.35599282894411355,13538.215814088175,30895.700649417908,uSv/h*m,,8678.742417664866,0.3760615503913382,0.8582139069282753
80,523238.98447642336,5697031.320640749,True,5241.528488821392,0.06039502311017657,5241.528488821392,synthetic_gamma_dose_rate,uSv/h,uSv,0.7789108577454298,0.9789108577454297,4082.6834511249767,5130.9891488892545,uSv/h*m,524.1528488821392,524.1528488821392,0.11340787364236046,0.14252747635803484
81,523202.753200823,5697245.40298261,False,,,86787.42417664865,synthetic_gamma_dose_rate,uSv/h,uSv,0.33933485837241556,0.5393348583724156,29449.998291489825,46807.483126819556,uSv/h*m,,8678.742417664866,0.8180555080969396,1.3002078646338766
82,523193.19623910234,5697183.825701348,True,17098.426349728732,0.1970150227632784,17098.426349728732,synthetic_gamma_dose_rate,uSv/h,uSv,0.47215750202159723,0.6721575020215973,8073.150273788176,11492.835543733923,uSv/h*m,1709.8426349728732,1709.8426349728732,0.22425417427189376,0.3192454317703868
83,522539.03472026443,5696762.621366847,False,,,86787.42417664865,synthetic_gamma_dose_rate,uSv/h,uSv,0.9041758152661707,1.1041758152661707,78471.09000977228,95828.574845102,uSv/h*m,,8678.742417664866,2.179752500271452,2.661904856808389
84,523355.73362253915,5697420.227922904,False,,,86787.42417664865,synthetic_gamma_dose_rate,uSv/h,uSv,0.13909363840256672,0.33909363840256673,12071.578596316944,29429.063431646675,uSv/h*m,,8678.742417664866,0.33532162767547063,0.8174739842124077
85,523353.65557529544,5697244.914884002,False,,,86787.42417664865,synthetic_gamma_dose_rate,uSv/h,uSv,0.21725455488846507,0.4172545548884651,18854.963209414214,36212.44804474395,uSv/h*m,,8678.742417664866,0.5237489780392838,1.0059013345762209
86,522766.7100205232,5696996.934132816,True,3605.934754157302,0.041549046862108946,3605.934754157302,synthetic_gamma_dose_rate,uSv/h,uSv,1.0747592756421243,1.2747592756421242,3875.5118243908632,4596.698775222323,uSv/h*m,360.5934754157302,360.5934754157302,0.10765310623307954,0.12768607708950896
87,523296.67082683934,5696725.0963258315,True,62435.52573105199,0.7194075215778916,62435.52573105199,synthetic_gamma_dose_rate,uSv/h,uSv,0.3342136158418113,0.5342136158418114,20866.802811559333,33353.907957769734,uSv/h*m,6243.5525731051985,6243.5525731051985,0.5796334114322037,0.9264974432713815
88,522731.8071445958,5696847.684871984,True,6360.196447062128,0.07328477031552949,6360.196447062128,synthetic_gamma_dose_rate,uSv/h,uSv,1.0661856448394051,1.266185644839405,6781.150150216228,8053.189439628653,uSv/h*m,636.0196447062128,636.0196447062128,0.1883652819504508,0.22369970665635147
89,522966.6170852334,5697196.024145708,True,9225.481947833581,0.10629975523937515,9225.481947833581,synthetic_gamma_dose_rate,uSv/h,uSv,0.5843587728216733,0.7843587728216732,5390.991309724532,7236.087699291247,uSv/h*m,922.5481947833581,922.5481947833581,0.1497497586034592,0.20100243609142354
90,523338.25533690606,5696965.788214354,True,13464.319258326814,0.1551413627730361,13464.319258326814,synthetic_gamma_dose_rate,uSv/h,uSv,0.4109572408801311,0.6109572408801311,5533.2594927312,8226.123344396565,uSv/h*m,1346.4319258326814,1346.4319258326814,0.15370165257586668,0.2285034262332379
91,523218.88540464384,5697116.692291211,True,17180.219447607382,0.19795747610435424,17180.219447607382,synthetic_gamma_dose_rate,uSv/h,uSv,0.6060676752475483,0.8060676752475484,10412.375660854124,13848.419550375602,uSv/h*m,1718.0219447607383,1718.0219447607383,0.2892326572459479,0.38467832084376674
92,522592.45806408155,5696839.096939503,True,55572.95399595907,0.6403341788649575,55572.95399595907,synthetic_gamma_dose_rate,uSv/h,uSv,1.161938978118386,1.361938978118386,64572.381377084756,75686.97217627657,uSv/h*m,5557.295399595907,5557.295399595907,1.7936772604745765,2.1024158937854605
93,522875.4254994288,5696947.537773756,True,98.66926385210368,0.001136907389384786,98.66926385210368,synthetic_gamma_dose_rate,uSv/h,uSv,1.1614509911002553,1.3614509911002552,114.59951429215842,134.33336706257916,uSv/h*m,9.866926385210368,9.866926385210368,0.003183319841448845,0.0037314824184049764
94,523159.9365257337,5697225.045066174,True,15252.185857191182,0.17574188889563785,15252.185857191182,synthetic_gamma_dose_rate,uSv/h,uSv,0.41843186405837707,0.618431864058377,6382.000559189321,9432.437730627558,uSv/h*m,1525.2185857191182,1525.2185857191182,0.17727779331081447,0.2620121591840988
95,523392.75022980326,5696608.84735645,False,,,86787.42417664865,synthetic_gamma_dose_rate,uSv/h,uSv,0.18938419246715754,0.38938419246715755,16436.16624399927,33793.651079329,uSv/h*m,,8678.742417664866,0.4565601734444241,0.9387125299813611
96,522606.88547925075,5696583.832816892,True,11696.54513221879,0.13477235029364895,11696.54513221879,synthetic_gamma_dose_rate,uSv/h,uSv,2.435567083302959,2.635567083302959,28487.72031239954,30827.0293388433,uSv/h*m,1169.654513221879,1169.654513221879,0.7913255642333206,0.856306370523425
97,522416.24037758756,5696751.384307366,False,,,86787.42417664865,synthetic_gamma_dose_rate,uSv/h,uSv,0.5383120796892905,0.7383120796892906,46718.71879940835,64076.203634738085,uSv/h*m,,8678.742417664866,1.2977421888724543,1.7798945454093913
98,522614.98475117446,5697375.775148595,True,14620.100884598782,0.16845874875651073,14620.100884598782,synthetic_gamma_dose_rate,uSv/h,uSv,0.31488497113516606,0.5148849711351661,4603.650045040104,7527.670221959859,uSv/h*m,1462.0100884598783,1462.0100884598783,0.12787916791778065,0.2091019506099961
99,522674.246223303,5697108.8041538065,True,36842.85104229122,0.42451831462702055,36842.85104229122,synthetic_gamma_dose_rate,uSv/h,uSv,1.696581973974638,1.896581973974638,62506.916948183985,69875.48715664224,uSv/h*m,3684.285104229122,3684.285104229122,1.7363032485606662,1.9409857543511733
