step_index,sampling_mode,mode,mode_after_step,x_m,y_m,executed_distance_step_m,total_executed_distance_m,remaining_budget_m,simulated_time_s,radiation_measurement,radiation_quantity,radiation_unit,radiation_trigger_confirmed,normal_route_interrupted,selected_next_x_m,selected_next_y_m,sar_score,predicted_radiation,planning_time_s
20,DEBUG_NODE_SAMPLING,RADIATION,RADIATION,522865.920497467,5697049.290406497,42.42640687119285,749.1168824543142,450.88311754568576,0.0,1.5054659860828994,synthetic_total_gamma_dose_rate,uSv/h,True,False,522865.920497467,5697049.290406497,0.0026621972527237333,2.6629935223249177,0.00021440000273287296
21,DEBUG_NODE_SAMPLING,RADIATION,RADIATION,522865.920497467,5697019.290406497,30.0,779.1168824543142,420.88311754568576,0.0,1.807691194674063,synthetic_total_gamma_dose_rate,uSv/h,True,False,522865.920497467,5697019.290406497,0.001299224783930657,2.0926515647848145,0.00024889997439458966
22,DEBUG_NODE_SAMPLING,RADIATION,RADIATION,522835.920497467,5696989.290406497,42.42640687119285,821.5432893255071,378.4567106744929,0.0,1.3933031825386926,synthetic_total_gamma_dose_rate,uSv/h,True,False,522835.920497467,5696989.290406497,0.0014986062992678284,1.9924374932887516,0.00020670000230893493
23,DEBUG_NODE_SAMPLING,RADIATION,RADIATION,522865.920497467,5696959.290406497,42.42640687119285,863.9696961966999,336.03030380330006,0.0,2.018148760930003,synthetic_total_gamma_dose_rate,uSv/h,True,False,522865.920497467,5696959.290406497,0.0013991651519253232,2.3316264522019727,0.0002442999975755811
24,DEBUG_NODE_SAMPLING,RADIATION,RADIATION,522835.920497467,5696929.290406497,42.42640687119285,906.3961030678928,293.6038969321072,0.0,1.298889023196788,synthetic_total_gamma_dose_rate,uSv/h,True,False,522835.920497467,5696929.290406497,0.0016928012807750116,1.7994403291835328,0.00019319995772093534
25,DEBUG_NODE_SAMPLING,RADIATION,RADIATION,522835.920497467,5696959.290406497,30.0,936.3961030678928,263.6038969321072,0.0,1.3933031825386926,synthetic_total_gamma_dose_rate,uSv/h,True,False,522835.920497467,5696959.290406497,0.0029196594687487063,1.5908960297303352,0.00024909997591748834
26,DEBUG_NODE_SAMPLING,RADIATION,RADIATION,522805.920497467,5696989.290406497,42.42640687119285,978.8225099390856,221.17749006091435,0.0,1.0347175733085354,synthetic_total_gamma_dose_rate,uSv/h,True,False,522805.920497467,5696989.290406497,0.0032174545935838117,1.3933031825386926,0.00021869997726753354
27,DEBUG_NODE_SAMPLING,RADIATION,RADIATION,522835.920497467,5697019.290406497,42.42640687119285,1021.2489168102785,178.7510831897215,0.0,1.298889023196788,synthetic_total_gamma_dose_rate,uSv/h,True,False,522835.920497467,5697019.290406497,0.001518222923749327,1.5810963002522491,0.0002442999975755811
28,DEBUG_NODE_SAMPLING,RADIATION,RADIATION,522835.920497467,5697049.290406497,30.0,1051.2489168102784,148.7510831897216,0.0,1.1487576019197197,synthetic_total_gamma_dose_rate,uSv/h,True,False,522835.920497467,5697049.290406497,0.003022859429955378,1.4255197239780852,0.00020820001373067498
29,DEBUG_NODE_SAMPLING,RADIATION,RADIATION,522865.920497467,5697079.290406497,42.42640687119285,1093.6753236814711,106.32467631852887,0.0,1.2183195690466513,synthetic_total_gamma_dose_rate,uSv/h,True,False,522865.920497467,5697079.290406497,0.00288193519089982,1.4608002686430868,0.00023300002794712782
30,DEBUG_NODE_SAMPLING,RADIATION,RADIATION,522895.920497467,5697079.290406497,30.0,1123.6753236814711,76.32467631852887,0.0,1.5054659860831374,synthetic_total_gamma_dose_rate,uSv/h,True,False,522895.920497467,5697079.290406497,0.0013292743119497305,1.251714661303662,0.0002300000051036477
31,DEBUG_NODE_SAMPLING,RADIATION,RADIATION,522925.920497467,5697049.290406497,42.42640687119285,1166.1017305526639,33.89826944733613,0.0,2.662993522325765,synthetic_total_gamma_dose_rate,uSv/h,True,False,522925.920497467,5697049.290406497,0.001748260613246876,2.06805994662343,0.00023060000967234373
32,DEBUG_NODE_SAMPLING,NORMAL,COMPLETE,522949.8901936637,5697073.260102694,33.89826944737476,1200.0000000000387,0.0,0.0,2.1627047713408327,synthetic_total_gamma_dose_rate,uSv/h,False,False,,,,,
