scenario,scenario_type,planner,radiation_quantity,radiation_rate_unit,radiation_dose_unit,sar_likelihood_score,sar_time_discounted_score,survivors_found,route_distance_m,uav_excess_exposure_distance_integral,uav_total_exposure_distance_integral,uav_cumulative_excess_dose,uav_cumulative_total_dose,survivor_total_pre_discovery_dose,survivor_mean_pre_discovery_dose,survivor_median_pre_discovery_dose,survivor_p95_pre_discovery_dose,survivor_max_pre_discovery_dose,radiation_episodes,radiation_steps,radiation_priority_decisions,sar_likelihood_score_relative_change_percent_vs_original,sar_time_discounted_score_relative_change_percent_vs_original,survivors_found_relative_change_percent_vs_original,route_distance_relative_change_percent_vs_original,uav_excess_exposure_distance_integral_relative_change_percent_vs_original,uav_total_exposure_distance_integral_relative_change_percent_vs_original,survivor_total_pre_discovery_dose_relative_change_percent_vs_original,survivor_mean_pre_discovery_dose_relative_change_percent_vs_original,survivor_p95_pre_discovery_dose_relative_change_percent_vs_original,survivor_max_pre_discovery_dose_relative_change_percent_vs_original
single_point_formal_first_run,point_only,Original,synthetic_gamma_dose_rate,uSv/h,uSv,0.9357528759397921,0.13976034472876997,92,87209.92201030577,18653.496819375614,36095.48122143705,0.5181526894271004,1.0026522561510292,209.98357427175412,2.0998357427175414,0.08144106397461735,0.6160865126925754,141.13573556003809,0,0,0,,,,,,,,,,
single_point_formal_first_run,point_only,Radiation-aware,synthetic_gamma_dose_rate,uSv/h,uSv,0.9444895804851107,0.13964300405006327,95,86911.68824536075,11672.821079515925,29055.158728588096,0.32424502998655347,0.8070877424607804,29.752717316825485,0.29752717316825483,0.13457784875654277,0.5810158781827066,7.442581039823527,7,383,355,0.9336551102281349,-0.08395849261420767,3.260869565217391,-0.3419722871782607,-37.42288005007606,-19.504719855813185,-85.83093110020098,-85.83093110020098,-5.692485355115849,-94.72665019224878
final_three_point_stress_scenario,multi_point,Original,synthetic_gamma_dose_rate,uSv/h,uSv,0.9357528759397921,0.13976034472876997,92,87209.92201030577,73584.54354404069,91026.5279461033,2.0440150984455747,2.5285146651695363,51.49483518649913,0.5149483518649913,0.17814406391106652,2.306159346707096,3.967625555844726,0,0,0,,,,,,,,,,
final_three_point_stress_scenario,multi_point,Radiation-aware,synthetic_gamma_dose_rate,uSv/h,uSv,0.8409564205800915,0.11788678408284624,83,86787.42417664865,96266.09442385825,113623.57925918676,2.674058178440507,3.15621053497741,59.96647379998598,0.5996647379998598,0.38214577229943014,1.78794910585648,2.8974938479286796,1,3600,1046,-10.130501096723316,-15.65076323214092,-9.782608695652174,-0.4844607401520147,30.823797753454222,24.82468772890376,16.45143359097095,16.451433590970943,-22.47070401230317,-26.971590258552272
final_uniform_cs137_surface,surface_only,Original,collision_air_kerma_rate,uGy/h,uGy,0.9357528759397921,0.13976034472876997,92,87209.92201030577,1009.8679027045118,1009.8679027045118,0.02805188618623644,0.02805188618623644,0.741253420493446,0.00741253420493446,0.0,0.006815678032885259,0.2695132399386396,0,0,0,,,,,,,,,,
final_uniform_cs137_surface,surface_only,Radiation-aware,collision_air_kerma_rate,uGy/h,uGy,0.9276807943833575,0.140048517239057,86,87582.71421645637,1027.4304502356274,1027.4304502356274,0.02853973472876743,0.02853973472876743,0.6941798576394956,0.006941798576394956,0.0,0.006231111508270012,0.2254254816179062,18,104,38,-0.8626296283970968,0.20619046901056842,-6.521739130434782,0.4274653589376475,1.739093547193804,1.739093547193804,-6.3505356673583915,-6.3505356673583995,-8.576791946373445,-16.358290349954952
