step_index,x_m,y_m,platform_altitude_m,value_reference_height_m,value,quantity,unit,sampling_contract
38,522640.9204974669,5696704.290406497,50.0,1.0,0.04595233680658828,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
39,522660.9204974669,5696724.290406497,50.0,1.0,0.04816025851754696,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
40,522660.9204974669,5696744.290406497,50.0,1.0,0.04772376774986575,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
41,522660.9204974669,5696764.290406497,50.0,1.0,0.047223647672642866,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
42,522660.9204974669,5696784.290406497,50.0,1.0,0.046664115404868756,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
43,522660.9204974669,5696804.290406497,50.0,1.0,0.046049728554197256,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
44,522660.9204974669,5696824.290406497,50.0,1.0,0.04538529940675207,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
45,522640.9204974669,5696844.290406497,50.0,1.0,0.042482579568478146,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
46,522640.9204974669,5696864.290406497,50.0,1.0,0.04180432156517988,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
47,522620.9204974669,5696884.290406497,50.0,1.0,0.03918116706424207,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
48,522600.9204974669,5696884.290406497,50.0,1.0,0.03739429338709027,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
49,522580.9204974669,5696884.290406497,50.0,1.0,0.03572241165278758,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
50,522560.9204974669,5696884.290406497,50.0,1.0,0.034156256463309054,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
51,522540.9204974669,5696864.290406497,50.0,1.0,0.03313575156342724,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
52,522520.9204974669,5696864.290406497,50.0,1.0,0.031719381092103954,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
53,522500.9204974669,5696844.290406497,50.0,1.0,0.030746396012647587,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
54,522500.9204974669,5696824.290406497,50.0,1.0,0.031080779232272288,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
55,522500.9204974669,5696804.290406497,50.0,1.0,0.03139095136283038,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
56,522500.9204974669,5696784.290406497,50.0,1.0,0.03167523781419718,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
57,522480.9204974669,5696764.290406497,50.0,1.0,0.030554808339002593,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
58,522500.9204974669,5696744.290406497,50.0,1.0,0.03215994654778381,ground_equivalent_excess_gamma_dose_rate,uSv/h,one_noise_free_measurement_per_executed_route_node
