test_id,seed,planner_seed,Y,sigma_m,influence_radius_m,scenario,scenario_id,scenario_type,radiation_quantity,radiation_rate_unit,radiation_dose_unit,radiation_positions_m,original_sar_likelihood_score,aware_sar_likelihood_score,delta_sar_likelihood_score,delta_percent_sar_likelihood_score,original_sar_time_discounted_score,aware_sar_time_discounted_score,delta_sar_time_discounted_score,delta_percent_sar_time_discounted_score,original_survivors_found,aware_survivors_found,delta_survivors_found,delta_percent_survivors_found,original_route_distance_m,aware_route_distance_m,delta_route_distance_m,delta_percent_route_distance_m,original_survivor_total_pre_discovery_dose,aware_survivor_total_pre_discovery_dose,delta_survivor_total_pre_discovery_dose,delta_percent_survivor_total_pre_discovery_dose,original_survivor_mean_pre_discovery_dose,aware_survivor_mean_pre_discovery_dose,delta_survivor_mean_pre_discovery_dose,delta_percent_survivor_mean_pre_discovery_dose,original_survivor_p95_pre_discovery_dose,aware_survivor_p95_pre_discovery_dose,delta_survivor_p95_pre_discovery_dose,delta_percent_survivor_p95_pre_discovery_dose,original_survivor_max_pre_discovery_dose,aware_survivor_max_pre_discovery_dose,delta_survivor_max_pre_discovery_dose,delta_percent_survivor_max_pre_discovery_dose,original_uav_cumulative_excess_dose,aware_uav_cumulative_excess_dose,delta_uav_cumulative_excess_dose,delta_percent_uav_cumulative_excess_dose,original_uav_cumulative_total_dose,aware_uav_cumulative_total_dose,delta_uav_cumulative_total_dose,delta_percent_uav_cumulative_total_dose,radiation_episodes,radiation_steps,radiation_priority_decisions,final_entry_threshold,final_exit_threshold
seed_101_Y_0p004,101,42,0.004,40.0,120.0,Single,single_point_formal_first_run,point_only,synthetic_gamma_dose_rate,uSv/h,uSv,"[[523373.1595041996, 5696615.595646507]]",0.9357528759397921,0.9683540737746826,0.03260119783489057,3.4839537951885693,0.13976034472876997,0.11510133560409706,-0.024659009124672907,-17.643780982744524,92.0,96.0,4.0,4.3478260869565215,87209.92201030577,86373.21061433647,-836.7113959693088,-0.9594222499940235,209.98357427175412,21.82914593294905,-188.15442833880508,-89.60435547939647,2.0998357427175414,0.2182914593294905,-1.881544283388051,-89.60435547939647,0.6160865126925754,0.5539102251907551,-0.06217628750182036,-10.092135799253581,141.13573556003809,1.6530982230469704,-139.4826373369911,-98.8287174637328,0.5181526894271004,1.1936352750303638,0.6754825856032635,130.36361663009336,1.0026522561510292,1.6734864451100018,0.6708341889589726,66.90596713302814,1.0,3600.0,1227.0,4e-05,3.6e-05
seed_101_Y_0p004,101,42,0.004,40.0,120.0,Multi,final_three_point_stress_scenario,multi_point,synthetic_gamma_dose_rate,uSv/h,uSv,"[[522709.29040665075, 5696609.905251155], [523059.29040665075, 5696959.905251155], [522569.29040665075, 5697029.905251155]]",0.9357528759397921,0.7840426271702464,-0.15171024876954564,-16.21264039580755,0.13976034472876997,0.09093247996473054,-0.04882786476403943,-34.9368519795788,92.0,73.0,-19.0,-20.652173913043477,87209.92201030577,86812.27699040034,-397.64501990543795,-0.4559630495466415,51.49483518649913,82.51587747537323,31.0210422888741,60.241075005920536,0.5149483518649913,0.8251587747537323,0.310210422888741,60.24107500592053,2.306159346707096,2.7944503508238894,0.4882910041167934,21.17334193814539,3.967625555844726,18.72156476767465,14.753939211829923,371.8581555685322,2.0440150984455747,2.268476531159666,0.22446143271409147,10.981397979143555,2.5285146651695363,2.750766958884098,0.22225229371456168,8.78983605577228,1.0,3600.0,981.0,4e-05,3.6e-05
seed_101_Y_0p004,101,42,0.004,40.0,120.0,Surface,final_uniform_cs137_surface,surface_only,collision_air_kerma_rate,uGy/h,uGy,"[[523153.28812081943, 5696790.724516032]]",0.9357528759397921,0.9644407984594598,0.028687922519667786,3.065758413069907,0.13976034472876997,0.12994451798260542,-0.009815826746164547,-7.023327514835428,92.0,97.0,5.0,5.434782608695652,87209.92201030577,87740.11537015677,530.1933598509931,0.6079507327025693,0.741253420493446,0.3578390225066998,-0.3834143979867462,-51.72514384237317,0.00741253420493446,0.003578390225066998,-0.0038341439798674623,-51.72514384237317,0.006815678032885259,0.0027049771340187743,-0.004110700898866485,-60.31242789099759,0.2695132399386396,0.13328481106622006,-0.13622842887241957,-50.54609892390995,0.02805188618623644,0.018312137054199214,-0.009739749132037227,-34.72047857094188,0.02805188618623644,0.018312137054199214,-0.009739749132037227,-34.72047857094188,37.0,914.0,333.0,0.00152,0.001368
seed_101_Y_0p01,101,42,0.01,40.0,120.0,Single,single_point_formal_first_run,point_only,synthetic_gamma_dose_rate,uSv/h,uSv,"[[523373.1595041996, 5696615.595646507]]",0.9357528759397921,0.9683540737746826,0.03260119783489057,3.4839537951885693,0.13976034472876997,0.11510133560409706,-0.024659009124672907,-17.643780982744524,92.0,96.0,4.0,4.3478260869565215,87209.92201030577,86373.21061433647,-836.7113959693088,-0.9594222499940235,209.98357427175412,21.82914593294905,-188.15442833880508,-89.60435547939647,2.0998357427175414,0.2182914593294905,-1.881544283388051,-89.60435547939647,0.6160865126925754,0.5539102251907551,-0.06217628750182036,-10.092135799253581,141.13573556003809,1.6530982230469704,-139.4826373369911,-98.8287174637328,0.5181526894271004,1.1936352750303638,0.6754825856032635,130.36361663009336,1.0026522561510292,1.6734864451100018,0.6708341889589726,66.90596713302814,1.0,3600.0,1227.0,0.0001,9e-05
seed_101_Y_0p01,101,42,0.01,40.0,120.0,Multi,final_three_point_stress_scenario,multi_point,synthetic_gamma_dose_rate,uSv/h,uSv,"[[522709.29040665075, 5696609.905251155], [523059.29040665075, 5696959.905251155], [522569.29040665075, 5697029.905251155]]",0.9357528759397921,0.7840426271702464,-0.15171024876954564,-16.21264039580755,0.13976034472876997,0.09093247996473054,-0.04882786476403943,-34.9368519795788,92.0,73.0,-19.0,-20.652173913043477,87209.92201030577,86812.27699040034,-397.64501990543795,-0.4559630495466415,51.49483518649913,82.51587747537323,31.0210422888741,60.241075005920536,0.5149483518649913,0.8251587747537323,0.310210422888741,60.24107500592053,2.306159346707096,2.7944503508238894,0.4882910041167934,21.17334193814539,3.967625555844726,18.72156476767465,14.753939211829923,371.8581555685322,2.0440150984455747,2.268476531159666,0.22446143271409147,10.981397979143555,2.5285146651695363,2.750766958884098,0.22225229371456168,8.78983605577228,1.0,3600.0,981.0,0.0001,9e-05
seed_101_Y_0p01,101,42,0.01,40.0,120.0,Surface,final_uniform_cs137_surface,surface_only,collision_air_kerma_rate,uGy/h,uGy,"[[523153.28812081943, 5696790.724516032]]",0.9357528759397921,0.8502867319036691,-0.08546614403612296,-9.13340971036695,0.13976034472876997,0.12992691778930657,-0.009833426939463402,-7.035920638681117,92.0,81.0,-11.0,-11.956521739130435,87209.92201030577,87491.58723271741,281.66522241164057,0.32297382673769115,0.741253420493446,0.37049025928791834,-0.37076316120552766,-50.01840813884054,0.00741253420493446,0.0037049025928791836,-0.0037076316120552765,-50.018408138840535,0.006815678032885259,0.004448202127780216,-0.002367475905105043,-34.73573566242575,0.2695132399386396,0.13328481106622006,-0.13622842887241957,-50.54609892390995,0.02805188618623644,0.009078668145008682,-0.018973218041227757,-67.63615792273141,0.02805188618623644,0.009078668145008682,-0.018973218041227757,-67.63615792273141,42.0,657.0,306.0,0.0043,0.00387
seed_101_Y_0p02,101,42,0.02,40.0,120.0,Single,single_point_formal_first_run,point_only,synthetic_gamma_dose_rate,uSv/h,uSv,"[[523373.1595041996, 5696615.595646507]]",0.9357528759397921,0.9683540737746826,0.03260119783489057,3.4839537951885693,0.13976034472876997,0.11510133560409706,-0.024659009124672907,-17.643780982744524,92.0,96.0,4.0,4.3478260869565215,87209.92201030577,86373.21061433647,-836.7113959693088,-0.9594222499940235,209.98357427175412,21.82914593294905,-188.15442833880508,-89.60435547939647,2.0998357427175414,0.2182914593294905,-1.881544283388051,-89.60435547939647,0.6160865126925754,0.5539102251907551,-0.06217628750182036,-10.092135799253581,141.13573556003809,1.6530982230469704,-139.4826373369911,-98.8287174637328,0.5181526894271004,1.1936352750303638,0.6754825856032635,130.36361663009336,1.0026522561510292,1.6734864451100018,0.6708341889589726,66.90596713302814,1.0,3600.0,1227.0,0.0002,0.00018
seed_101_Y_0p02,101,42,0.02,40.0,120.0,Multi,final_three_point_stress_scenario,multi_point,synthetic_gamma_dose_rate,uSv/h,uSv,"[[522709.29040665075, 5696609.905251155], [523059.29040665075, 5696959.905251155], [522569.29040665075, 5697029.905251155]]",0.9357528759397921,0.7840426271702464,-0.15171024876954564,-16.21264039580755,0.13976034472876997,0.09093247996473054,-0.04882786476403943,-34.9368519795788,92.0,73.0,-19.0,-20.652173913043477,87209.92201030577,86812.27699040034,-397.64501990543795,-0.4559630495466415,51.49483518649913,82.51587747537323,31.0210422888741,60.241075005920536,0.5149483518649913,0.8251587747537323,0.310210422888741,60.24107500592053,2.306159346707096,2.7944503508238894,0.4882910041167934,21.17334193814539,3.967625555844726,18.72156476767465,14.753939211829923,371.8581555685322,2.0440150984455747,2.268476531159666,0.22446143271409147,10.981397979143555,2.5285146651695363,2.750766958884098,0.22225229371456168,8.78983605577228,1.0,3600.0,981.0,0.0002,0.00018
seed_101_Y_0p02,101,42,0.02,40.0,120.0,Surface,final_uniform_cs137_surface,surface_only,collision_air_kerma_rate,uGy/h,uGy,"[[523153.28812081943, 5696790.724516032]]",0.9357528759397921,0.9348526484668259,-0.0009002274729661419,-0.09620354861982429,0.13976034472876997,0.1300227422601723,-0.009737602468597673,-6.967357219599907,92.0,89.0,-3.0,-3.260869565217391,87209.92201030577,87193.35346781761,-16.568542488166713,-0.018998460388725925,0.741253420493446,0.37199554091706,-0.369257879576386,-49.815335668950325,0.00741253420493446,0.0037199554091706,-0.0036925787957638604,-49.81533566895034,0.006815678032885259,0.0047392845140663215,-0.0020763935188189376,-30.464959007753254,0.2695132399386396,0.13328481106622006,-0.13622842887241957,-50.54609892390995,0.02805188618623644,0.01306462685444942,-0.01498725933178702,-53.426921927055545,0.02805188618623644,0.01306462685444942,-0.01498725933178702,-53.426921927055545,29.0,594.0,284.0,0.006,0.0054
seed_101_Y_0p05,101,42,0.05,40.0,120.0,Single,single_point_formal_first_run,point_only,synthetic_gamma_dose_rate,uSv/h,uSv,"[[523373.1595041996, 5696615.595646507]]",0.9357528759397921,0.9683540737746826,0.03260119783489057,3.4839537951885693,0.13976034472876997,0.11510133560409706,-0.024659009124672907,-17.643780982744524,92.0,96.0,4.0,4.3478260869565215,87209.92201030577,86373.21061433647,-836.7113959693088,-0.9594222499940235,209.98357427175412,21.82914593294905,-188.15442833880508,-89.60435547939647,2.0998357427175414,0.2182914593294905,-1.881544283388051,-89.60435547939647,0.6160865126925754,0.5539102251907551,-0.06217628750182036,-10.092135799253581,141.13573556003809,1.6530982230469704,-139.4826373369911,-98.8287174637328,0.5181526894271004,1.1936352750303638,0.6754825856032635,130.36361663009336,1.0026522561510292,1.6734864451100018,0.6708341889589726,66.90596713302814,1.0,3600.0,1227.0,0.0005,0.00045000000000000004
