test_id,seed,planner_seed,intensity_multiplier,independent_final_validation,Y,sigma_m,influence_radius_m,scenario,scenario_id,scenario_type,radiation_quantity,radiation_rate_unit,radiation_dose_unit,radiation_positions_m,background_rate,original_sar_likelihood_score,aware_sar_likelihood_score,delta_sar_likelihood_score,delta_percent_sar_likelihood_score,original_sar_time_discounted_score,aware_sar_time_discounted_score,delta_sar_time_discounted_score,delta_percent_sar_time_discounted_score,original_survivors_found,aware_survivors_found,delta_survivors_found,delta_percent_survivors_found,original_route_distance_m,aware_route_distance_m,delta_route_distance_m,delta_percent_route_distance_m,original_survivor_total_pre_discovery_dose,aware_survivor_total_pre_discovery_dose,delta_survivor_total_pre_discovery_dose,delta_percent_survivor_total_pre_discovery_dose,original_survivor_mean_pre_discovery_dose,aware_survivor_mean_pre_discovery_dose,delta_survivor_mean_pre_discovery_dose,delta_percent_survivor_mean_pre_discovery_dose,original_survivor_p95_pre_discovery_dose,aware_survivor_p95_pre_discovery_dose,delta_survivor_p95_pre_discovery_dose,delta_percent_survivor_p95_pre_discovery_dose,original_survivor_max_pre_discovery_dose,aware_survivor_max_pre_discovery_dose,delta_survivor_max_pre_discovery_dose,delta_percent_survivor_max_pre_discovery_dose,original_uav_cumulative_excess_dose,aware_uav_cumulative_excess_dose,delta_uav_cumulative_excess_dose,delta_percent_uav_cumulative_excess_dose,original_uav_cumulative_total_dose,aware_uav_cumulative_total_dose,delta_uav_cumulative_total_dose,delta_percent_uav_cumulative_total_dose,radiation_episodes,radiation_steps,radiation_priority_decisions
seed_113_intensity_0p25x,113,42,0.25,FALSE,0.05,40,120,Single,single_point_formal_first_run,point_only,synthetic_gamma_dose_rate,uSv/h,uSv,"[[522414.6358069232, 5696916.882449611]]",0.2,0.9357528759397921,0.9569473205251249,0.021194444585332817,2.264961736189898,0.13976034472876997,0.11998687248284844,-0.019773472,-14.14812784,90,97,7,7.777777777777778,87209.92201030577,86853.69834662747,-356.2236637,-0.408466899,20.783918346500165,12.616845531086538,-8.167072815,-39.29515445,0.20783918346500166,0.12616845531086537,-0.081670728,-39.29515445,0.553678904,0.21232316239557658,-0.341355742,-61.65229326,6.581719644821741,1.4384369114188706,-5.143282733,-78.14496835,0.079276744,0.079247183,-2.96E-05,-0.037288206,0.5637763108348501,0.56176773,-0.002008581,-0.356272726,1,3600,1216
seed_113_intensity_0p25x,113,42,0.25,FALSE,0.05,40,120,Multi,final_three_point_stress_scenario,multi_point,synthetic_gamma_dose_rate,uSv/h,uSv,"[[522826.8308885271, 5696921.06889583], [523176.8308885271, 5697271.06889583], [522686.8308885271, 5697341.06889583]]",0.2,0.9357528759397921,0.9467800857721935,0.011027209832401463,1.1784318398515905,0.13976034472876997,0.10617211976525394,-0.033588225,-24.03272905,90,94,4,4.444444444444445,87209.92201030577,87044.23658535971,-165.6854249,-0.189984604,28.42433049176192,33.69813368,5.273803187810579,18.55383432633201,0.28424330491761923,0.336981337,0.052738032,18.553834326331998,1.1090829754821725,0.5816939926079653,-0.527388983,-47.55180582,2.0709289796572405,1.6744387774708729,-0.396490202,-19.14552387,0.5314234120194489,0.6298370737943583,0.098413662,18.518879588110373,1.0159229787433512,1.1134161659352309,0.097493187,9.596513636543007,1,3600,1226
seed_113_intensity_0p25x,113,42,0.25,FALSE,0.05,40,120,Surface,final_uniform_cs137_surface,surface_only,collision_air_kerma_rate,uGy/h,uGy,"[[522705.88312187727, 5697244.588909064]]",0,0.9357528759397921,0.8722864485985913,-0.063466427,-6.782391908,0.13976034472876997,0.14009501898508075,0.000334674,0.23946295850964064,90,87,-3,-3.333333333,87209.92201030577,87483.30296146924,273.38095116346085,0.3134745965386311,0.2812307360434967,0.2882684039895594,0.007037668,2.502453339585974,0.002812307,0.002882684,7.037667946062668e-05,2.5024533395859634,0.010992969209677274,0.00557807,-0.005414899,-49.25784042,0.092383411,0.19324618031224713,0.10086276950058864,109.17844298498242,0.005570623,0.012079836,0.006509213,116.8489281560014,0.005570623,0.012079836,0.006509213,116.8489281560014,45,678,177
seed_113_intensity_0p5x,113,42,0.5,FALSE,0.05,40,120,Single,single_point_formal_first_run,point_only,synthetic_gamma_dose_rate,uSv/h,uSv,"[[522414.6358069232, 5696916.882449611]]",0.2,0.9357528759397921,0.9569473205251249,0.021194444585332817,2.264961736189898,0.13976034472876997,0.11998687248284844,-0.019773472,-14.14812784,90,97,7,7.777777777777778,87209.92201030577,86853.69834662747,-356.2236637,-0.408466899,28.79896098580502,14.72117558415077,-14.0777854,-48.88296286,0.2879896098580502,0.1472117558415077,-0.140777854,-48.88296286,0.6228582413844411,0.2875515216183783,-0.33530672,-53.83355272,12.678939722919562,2.394353276467588,-10.28458645,-81.11550864,0.1585534882218379,0.15849436647063497,-5.91E-05,-0.037288206,0.6430530549457454,0.6410149128407977,-0.002038142,-0.316947737,1,3600,1216
seed_113_intensity_0p5x,113,42,0.5,FALSE,0.05,40,120,Multi,final_three_point_stress_scenario,multi_point,synthetic_gamma_dose_rate,uSv/h,uSv,"[[522826.8308885271, 5696921.06889583], [523176.8308885271, 5697271.06889583], [522686.8308885271, 5697341.06889583]]",0.2,0.9357528759397921,0.9467800857721935,0.011027209832401463,1.1784318398515905,0.13976034472876997,0.10617211976525394,-0.033588225,-24.03272905,90,94,4,4.444444444444445,87209.92201030577,87044.23658535971,-165.6854249,-0.189984604,44.07978527632853,46.25770424541098,2.177918969082448,4.940856575025155,0.4407978527632853,0.4625770424541098,0.021779189690824485,4.940856575025156,1.7336663842404239,0.763681505,-0.96998488,-55.94991565,3.799482678412449,2.865298462800858,-0.934184216,-24.58714237,1.0628468240388977,1.2596741475887165,0.1968273235498188,18.518879588110373,1.547346390762782,1.743253239729604,0.1959068489668221,12.660826957449881,1,3600,1226
seed_113_intensity_0p5x,113,42,0.5,FALSE,0.05,40,120,Surface,final_uniform_cs137_surface,surface_only,collision_air_kerma_rate,uGy/h,uGy,"[[522705.88312187727, 5697244.588909064]]",0,0.9357528759397921,0.9449958939315611,0.009243018,0.9877627127232882,0.13976034472876997,0.138247114,-0.00151323,-1.082732362,90,94,4,4.444444444444445,87209.92201030577,87143.64784030334,-66.27417,-0.075993842,0.5624614720869934,0.17000100414924427,-0.392460468,-69.77552907,0.005624615,0.00170001,-0.003924605,-69.77552907,0.021985938419354548,0.0053503,-0.016635638,-75.66489901,0.18476682162331698,0.068283927,-0.116482895,-63.04318798,0.011141245641024871,0.005961177,-0.005180069,-46.49451931,0.011141245641024871,0.005961177,-0.005180069,-46.49451931,14,531,260
seed_113_intensity_1x,113,42,1,TRUE,0.05,40,120,Single,single_point_formal_first_run,point_only,synthetic_gamma_dose_rate,uSv/h,uSv,"[[522414.6358069232, 5696916.882449611]]",0.2,0.9357528759397921,0.957289892,0.021537015800857984,2.3015708906294305,0.13976034472876997,0.11973999250318577,-0.020020352,-14.32477307,90,97,7,7.777777777777778,87209.92201030577,86845.41408,-364.5079349,-0.417966129,44.82904626441473,18.89088959552325,-25.93815667,-57.86015726,0.4482904626441473,0.18890889595523253,-0.259381567,-57.86015726,0.7612169160449609,0.46296887159940653,-0.298248044,-39.18042783,24.87337988,4.305775274338308,-20.5676046,-82.6892232,0.3171069764436758,0.3168681894295566,-0.000238787,-0.075301722,0.8016065431676032,0.7993427120705563,-0.002263831,-0.282411754,1,3600,1215
seed_113_intensity_1x,113,42,1,TRUE,0.05,40,120,Multi,final_three_point_stress_scenario,multi_point,synthetic_gamma_dose_rate,uSv/h,uSv,"[[522826.8308885271, 5696921.06889583], [523176.8308885271, 5697271.06889583], [522686.8308885271, 5697341.06889583]]",0.2,0.9357528759397921,0.9467800857721935,0.011027209832401463,1.1784318398515905,0.13976034472876997,0.10617211976525394,-0.033588225,-24.03272905,90,94,4,4.444444444444445,87209.92201030577,87044.23658535971,-165.6854249,-0.189984604,75.39069484546174,71.37684537708796,-4.013849468,-5.324064829,0.7539069484546174,0.7137684537708796,-0.040138495,-5.324064829,3.0474186076987557,1.1757490913034119,-1.871669516,-61.41819544,7.256590075922866,5.247017833,-2.009572242,-27.6930655,2.1256936480777955,2.519348295177433,0.3936546470996376,18.518879588110373,2.6101932148016864,3.0029273873183007,0.39273417251661424,15.046172455338823,1,3600,1226
seed_113_intensity_1x,113,42,1,TRUE,0.05,40,120,Surface,final_uniform_cs137_surface,surface_only,collision_air_kerma_rate,uGy/h,uGy,"[[522705.88312187727, 5697244.588909064]]",0,0.9357528759397921,0.9143575111039312,-0.021395365,-2.286433244,0.13976034472876997,0.1378823238248085,-0.001878021,-1.343743755,90,93,3,3.3333333333333335,87209.92201030577,87118.79502659097,-91.12698371,-0.104491532,1.1249229441739867,0.30584675785493026,-0.819076186,-72.81175929,0.011249229441739868,0.003058468,-0.008190762,-72.81175929,0.043971876838709095,0.010662244085114556,-0.033309633,-75.75212874,0.36953364324663396,0.13656785387226547,-0.232965789,-63.04318798,0.022282491282049743,0.021619342717944204,-0.000663149,-2.976097043,0.022282491282049743,0.021619342717944204,-0.000663149,-2.976097043,62,622,242
seed_113_intensity_2x,113,42,2,FALSE,0.05,40,120,Single,single_point_formal_first_run,point_only,synthetic_gamma_dose_rate,uSv/h,uSv,"[[522414.6358069232, 5696916.882449611]]",0.2,0.9357528759397921,0.957289892,0.021537015800857984,2.3015708906294305,0.13976034472876997,0.11973999250318577,-0.020020352,-14.32477307,90,97,7,7.777777777777778,87209.92201030577,86845.41408,-364.5079349,-0.417966129,76.88921682163415,27.28448672887698,-49.60473009,-64.51454722,0.7688921682163415,0.27284486728876983,-0.496047301,-64.51454722,1.059634865,0.5773155768428053,-0.482319288,-45.5174989,49.26226019150648,8.129076026035616,-41.13318417,-83.49836976,0.6342139528873516,0.6337363788591132,-0.000477574,-0.075301722,1.1187135196112745,1.1162109015001092,-0.002502618,-0.223705003,1,3600,1215
