metric,unit,original,radiation_aware,absolute_delta_radiation_aware_minus_original,relative_change_percent
sar_likelihood_score,probability,0.9357528759397921,0.9276807943833575,-0.008072081556434574,-0.8626296283970968
sar_time_discounted_score,score,0.13976034472876997,0.140048517239057,0.00028817251028703805,0.20619046901056842
survivors_found,count,92.0,86.0,-6.0,-6.521739130434782
covered_area,km^2,1.0613814965225454,1.0399976561828679,-0.02138384033967755,-2.0147176495669505
route_distance,m,87209.92201030577,87582.71421645637,372.79220615059603,0.4274653589376475
uav_excess_exposure_distance_integral,uGy/h*m,1009.8679027045118,1027.4304502356274,17.56254753111557,1.739093547193804
uav_total_exposure_distance_integral,uGy/h*m,1009.8679027045118,1027.4304502356274,17.56254753111557,1.739093547193804
uav_cumulative_excess_dose,uGy,0.02805188618623644,0.02853973472876743,0.00048784854253098794,1.7390935471938036
uav_cumulative_total_dose,uGy,0.02805188618623644,0.02853973472876743,0.00048784854253098794,1.7390935471938036
survivor_total_pre_discovery_dose,uGy,0.741253420493446,0.6941798576394956,-0.04707356285395037,-6.3505356673583915
survivor_mean_pre_discovery_dose,uGy,0.00741253420493446,0.006941798576394956,-0.0004707356285395042,-6.3505356673583995
survivor_median_pre_discovery_dose,uGy,0.0,0.0,0.0,
survivor_p95_pre_discovery_dose,uGy,0.006815678032885259,0.006231111508270012,-0.000584566524615247,-8.576791946373445
survivor_max_pre_discovery_dose,uGy,0.2695132399386396,0.2254254816179062,-0.04408775832073342,-16.358290349954952
heading_changes,count,2888.0,2920.0,32.0,1.10803324099723
total_absolute_heading_change,deg,265725.00000001315,272610.0000000197,6885.000000006519,2.5910245554637985
