step_index,mode_before,mode_after,x_m,y_m,sar_row,sar_col,step_distance_m,total_distance_m,measurement_excess,measurement_quantity,measurement_unit,platform_altitude_m,value_reference_height_m,estimator_updated_cells,estimator_update_time_s,hazard_active,hazard_transition,hazard_episode_index,entry_threshold_current,exit_threshold_current,normal_route_interrupted,mode_transition_reason,radiation_planning_time_s,continuation_planning_time_s
0,NORMAL,NORMAL,522960.9204974669,5696984.290406497,30,29,0.0,0.0,0.0030870548547954025,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.0008506000158376992,False,,1,0.1,0.09000000000000001,False,,,
1,NORMAL,NORMAL,522940.9204974669,5696964.290406497,29,28,28.284271247461902,28.284271247461902,0.003105752338736326,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.0005558999837376177,False,,1,0.1,0.09000000000000001,False,,,
2,NORMAL,NORMAL,522920.9204974669,5696944.290406497,28,27,28.284271247461902,56.568542494923804,0.0029508072217812897,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.0004785000055562705,False,,1,0.1,0.09000000000000001,False,,,
3,NORMAL,NORMAL,522900.9204974669,5696924.290406497,27,26,28.284271247461902,84.8528137423857,0.00265492662895438,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.00046060001477599144,False,,1,0.1,0.09000000000000001,False,,,
4,NORMAL,NORMAL,522880.9204974669,5696904.290406497,26,25,28.284271247461902,113.13708498984761,0.0022760611046682352,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.00041790000977925956,False,,1,0.1,0.09000000000000001,False,,,
5,NORMAL,NORMAL,522860.9204974669,5696884.290406497,25,24,28.284271247461902,141.4213562373095,0.0018736054803968373,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.00042100000428035855,False,,1,0.1,0.09000000000000001,False,,,
6,NORMAL,NORMAL,522840.9204974669,5696864.290406497,24,23,28.284271247461902,169.7056274847714,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.00041050001163966954,False,,1,0.1,0.09000000000000001,False,,,
7,NORMAL,NORMAL,522820.9204974669,5696844.290406497,23,22,28.284271247461902,197.9898987322333,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.00044999999227002263,False,,1,0.1,0.09000000000000001,False,,,
8,NORMAL,NORMAL,522800.9204974669,5696824.290406497,22,21,28.284271247461902,226.27416997969522,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.0004254999803379178,False,,1,0.1,0.09000000000000001,False,,,
9,NORMAL,NORMAL,522820.9204974669,5696804.290406497,21,22,28.284271247461902,254.55844122715712,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.00045200000749900937,False,,1,0.1,0.09000000000000001,False,,,
10,NORMAL,NORMAL,522840.9204974669,5696784.290406497,20,23,28.284271247461902,282.842712474619,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.00041799998143687844,False,,1,0.1,0.09000000000000001,False,,,
11,NORMAL,NORMAL,522820.9204974669,5696764.290406497,19,22,28.284271247461902,311.1269837220809,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.00040109999827109277,False,,1,0.1,0.09000000000000001,False,,,
12,NORMAL,NORMAL,522840.9204974669,5696744.290406497,18,23,28.284271247461902,339.4112549695428,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.0003934999986086041,False,,1,0.1,0.09000000000000001,False,,,
13,NORMAL,NORMAL,522860.9204974669,5696724.290406497,17,24,28.284271247461902,367.6955262170047,0.002125833407202124,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.00038670000503771007,False,,1,0.1,0.09000000000000001,False,,,
14,NORMAL,NORMAL,522840.9204974669,5696704.290406497,16,23,28.284271247461902,395.9797974644666,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.00043730001198127866,False,,1,0.1,0.09000000000000001,False,,,
15,NORMAL,NORMAL,522820.9204974669,5696684.290406497,15,22,28.284271247461902,424.26406871192853,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.00039480000850744545,False,,1,0.1,0.09000000000000001,False,,,
16,NORMAL,NORMAL,522800.9204974669,5696664.290406497,14,21,28.284271247461902,452.54833995939043,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.000502600014442578,False,,1,0.1,0.09000000000000001,False,,,
17,NORMAL,NORMAL,522820.9204974669,5696644.290406497,13,22,28.284271247461902,480.83261120685233,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.00042749999556690454,False,,1,0.1,0.09000000000000001,False,,,
18,NORMAL,NORMAL,522820.9204974669,5696624.290406497,12,22,20.0,500.83261120685233,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.00044380000326782465,False,,1,0.1,0.09000000000000001,False,,,
19,NORMAL,NORMAL,522820.9204974669,5696604.290406497,11,22,20.0,520.8326112068523,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.00039339999784715474,False,,1,0.1,0.09000000000000001,False,,,
20,NORMAL,NORMAL,522800.9204974669,5696584.290406497,10,21,28.284271247461902,549.1168824543142,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.00040550000267103314,False,,1,0.1,0.09000000000000001,False,,,
21,NORMAL,NORMAL,522800.9204974669,5696564.290406497,9,21,20.0,569.1168824543142,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.00041280000004917383,False,,1,0.1,0.09000000000000001,False,,,
22,NORMAL,NORMAL,522780.9204974669,5696544.290406497,8,20,28.284271247461902,597.4011537017761,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.0004394999996293336,False,,1,0.1,0.09000000000000001,False,,,
23,NORMAL,NORMAL,522760.9204974669,5696544.290406497,8,19,20.0,617.4011537017761,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.0003902999742422253,False,,1,0.1,0.09000000000000001,False,,,
24,NORMAL,NORMAL,522740.9204974669,5696544.290406497,8,18,20.0,637.4011537017761,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.00034959998447448015,False,,1,0.1,0.09000000000000001,False,,,
25,NORMAL,NORMAL,522720.9204974669,5696544.290406497,8,17,20.0,657.4011537017761,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.0003383000148460269,False,,1,0.1,0.09000000000000001,False,,,
26,NORMAL,NORMAL,522700.9204974669,5696544.290406497,8,16,20.0,677.4011537017761,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.0003448000061325729,False,,1,0.1,0.09000000000000001,False,,,
27,NORMAL,NORMAL,522680.9204974669,5696544.290406497,8,15,20.0,697.4011537017761,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.0003347999881953001,False,,1,0.1,0.09000000000000001,False,,,
28,NORMAL,NORMAL,522660.9204974669,5696544.290406497,8,14,20.0,717.4011537017761,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.00034539998159743845,False,,1,0.1,0.09000000000000001,False,,,
29,NORMAL,NORMAL,522640.9204974669,5696544.290406497,8,13,20.0,737.4011537017761,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.0003367000026628375,False,,1,0.1,0.09000000000000001,False,,,
30,NORMAL,NORMAL,522620.9204974669,5696564.290406497,9,12,28.284271247461902,765.685424949238,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.0003966000222135335,False,,1,0.1,0.09000000000000001,False,,,
31,NORMAL,NORMAL,522600.9204974669,5696564.290406497,9,11,20.0,785.685424949238,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.0003422000154387206,False,,1,0.1,0.09000000000000001,False,,,
32,NORMAL,NORMAL,522580.9204974669,5696584.290406497,10,10,28.284271247461902,813.9696961966999,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.0003837999829556793,False,,1,0.1,0.09000000000000001,False,,,
33,NORMAL,NORMAL,522600.9204974669,5696604.290406497,11,11,28.284271247461902,842.2539674441618,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.00033560002339072526,False,,1,0.1,0.09000000000000001,False,,,
34,NORMAL,NORMAL,522620.9204974669,5696624.290406497,12,12,28.284271247461902,870.5382386916237,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.00035349998506717384,False,,1,0.1,0.09000000000000001,False,,,
35,NORMAL,NORMAL,522620.9204974669,5696644.290406497,13,12,20.0,890.5382386916237,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.00033069998607970774,False,,1,0.1,0.09000000000000001,False,,,
36,NORMAL,NORMAL,522640.9204974669,5696664.290406497,14,13,28.284271247461902,918.8225099390856,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.0003339000104460865,False,,1,0.1,0.09000000000000001,False,,,
37,NORMAL,NORMAL,522640.9204974669,5696684.290406497,15,13,20.0,938.8225099390856,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.0003277999931015074,False,,1,0.1,0.09000000000000001,False,,,
38,NORMAL,NORMAL,522640.9204974669,5696704.290406497,16,13,20.0,958.8225099390856,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.0003183000080753118,False,,1,0.1,0.09000000000000001,False,,,
39,NORMAL,NORMAL,522660.9204974669,5696724.290406497,17,14,28.284271247461902,987.1067811865476,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.0003394999948795885,False,,1,0.1,0.09000000000000001,False,,,
40,NORMAL,NORMAL,522660.9204974669,5696744.290406497,18,14,20.0,1007.1067811865476,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.00033999999868683517,False,,1,0.1,0.09000000000000001,False,,,
41,NORMAL,NORMAL,522660.9204974669,5696764.290406497,19,14,20.0,1027.1067811865476,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.0003504999913275242,False,,1,0.1,0.09000000000000001,False,,,
42,NORMAL,NORMAL,522660.9204974669,5696784.290406497,20,14,20.0,1047.1067811865476,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.0003119000175502151,False,,1,0.1,0.09000000000000001,False,,,
43,NORMAL,NORMAL,522660.9204974669,5696804.290406497,21,14,20.0,1067.1067811865476,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.0003428999916650355,False,,1,0.1,0.09000000000000001,False,,,
44,NORMAL,NORMAL,522660.9204974669,5696824.290406497,22,14,20.0,1087.1067811865476,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.0003240999940317124,False,,1,0.1,0.09000000000000001,False,,,
45,NORMAL,NORMAL,522640.9204974669,5696844.290406497,23,13,28.284271247461902,1115.3910524340095,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.00034710002364590764,False,,1,0.1,0.09000000000000001,False,,,
46,NORMAL,NORMAL,522640.9204974669,5696864.290406497,24,13,20.0,1135.3910524340095,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.00032809999538585544,False,,1,0.1,0.09000000000000001,False,,,
47,NORMAL,NORMAL,522620.9204974669,5696884.290406497,25,12,28.284271247461902,1163.6753236814714,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.0003444999747443944,False,,1,0.1,0.09000000000000001,False,,,
48,NORMAL,NORMAL,522600.9204974669,5696884.290406497,25,11,20.0,1183.6753236814714,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.0005297000170685351,False,,1,0.1,0.09000000000000001,False,,,
49,NORMAL,NORMAL,522580.9204974669,5696884.290406497,25,10,20.0,1203.6753236814714,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.00038979999953880906,False,,1,0.1,0.09000000000000001,False,,,
50,NORMAL,NORMAL,522560.9204974669,5696884.290406497,25,9,20.0,1223.6753236814714,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.00035420001950114965,False,,1,0.1,0.09000000000000001,False,,,
51,NORMAL,NORMAL,522540.9204974669,5696864.290406497,24,8,28.284271247461902,1251.9595949289333,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.000361400016117841,False,,1,0.1,0.09000000000000001,False,,,
52,NORMAL,NORMAL,522520.9204974669,5696864.290406497,24,7,20.0,1271.9595949289333,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.0003429999924264848,False,,1,0.1,0.09000000000000001,False,,,
53,NORMAL,NORMAL,522500.9204974669,5696844.290406497,23,6,28.284271247461902,1300.2438661763952,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.00034940001205541193,False,,1,0.1,0.09000000000000001,False,,,
54,NORMAL,NORMAL,522500.9204974669,5696824.290406497,22,6,20.0,1320.2438661763952,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.0003446999762672931,False,,1,0.1,0.09000000000000001,False,,,
55,NORMAL,NORMAL,522500.9204974669,5696804.290406497,21,6,20.0,1340.2438661763952,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.000314799981424585,False,,1,0.1,0.09000000000000001,False,,,
56,NORMAL,NORMAL,522500.9204974669,5696784.290406497,20,6,20.0,1360.2438661763952,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.0003497999859973788,False,,1,0.1,0.09000000000000001,False,,,
57,NORMAL,NORMAL,522480.9204974669,5696764.290406497,19,5,28.284271247461902,1388.528137423857,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.0003730999887920916,False,,1,0.1,0.09000000000000001,False,,,
58,NORMAL,NORMAL,522500.9204974669,5696744.290406497,18,6,28.284271247461902,1416.812408671319,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,50.0,1.0,6360,0.00033710000570863485,False,,1,0.1,0.09000000000000001,False,,,
