controller_call_index,executed_step_index,mode_before,mode_after,moved,x_m,y_m,event_type,episode_index,entry_multiplier_initial,entry_threshold_current,exit_threshold_current,base_hazard_reference,trigger_measurement,radiation_quantity,radiation_unit,transition_reason,normal_route_interrupted,normal_route_replanned,mission_complete,completion_reason
18,18,NORMAL,NORMAL,True,522820.9204974669,5696624.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
19,19,NORMAL,NORMAL,True,522820.9204974669,5696604.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
20,20,NORMAL,NORMAL,True,522800.9204974669,5696584.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
21,21,NORMAL,NORMAL,True,522800.9204974669,5696564.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
22,22,NORMAL,NORMAL,True,522780.9204974669,5696544.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
23,23,NORMAL,NORMAL,True,522760.9204974669,5696544.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
24,24,NORMAL,NORMAL,True,522740.9204974669,5696544.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
25,25,NORMAL,NORMAL,True,522720.9204974669,5696544.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
26,26,NORMAL,NORMAL,True,522700.9204974669,5696544.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
27,27,NORMAL,NORMAL,True,522680.9204974669,5696544.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
28,28,NORMAL,NORMAL,True,522660.9204974669,5696544.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
29,29,NORMAL,NORMAL,True,522640.9204974669,5696544.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
30,30,NORMAL,NORMAL,True,522620.9204974669,5696564.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
31,31,NORMAL,NORMAL,True,522600.9204974669,5696564.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
32,32,NORMAL,NORMAL,True,522580.9204974669,5696584.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
33,33,NORMAL,NORMAL,True,522600.9204974669,5696604.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
34,34,NORMAL,NORMAL,True,522620.9204974669,5696624.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
35,35,NORMAL,NORMAL,True,522620.9204974669,5696644.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
36,36,NORMAL,NORMAL,True,522640.9204974669,5696664.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
37,37,NORMAL,NORMAL,True,522640.9204974669,5696684.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
38,38,NORMAL,NORMAL,True,522640.9204974669,5696704.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
39,39,NORMAL,NORMAL,True,522660.9204974669,5696724.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
40,40,NORMAL,NORMAL,True,522660.9204974669,5696744.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
41,41,NORMAL,NORMAL,True,522660.9204974669,5696764.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
42,42,NORMAL,NORMAL,True,522660.9204974669,5696784.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
43,43,NORMAL,NORMAL,True,522660.9204974669,5696804.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
44,44,NORMAL,NORMAL,True,522660.9204974669,5696824.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
45,45,NORMAL,NORMAL,True,522640.9204974669,5696844.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
46,46,NORMAL,NORMAL,True,522640.9204974669,5696864.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
47,47,NORMAL,NORMAL,True,522620.9204974669,5696884.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
48,48,NORMAL,NORMAL,True,522600.9204974669,5696884.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
49,49,NORMAL,NORMAL,True,522580.9204974669,5696884.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
50,50,NORMAL,NORMAL,True,522560.9204974669,5696884.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
51,51,NORMAL,NORMAL,True,522540.9204974669,5696864.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
52,52,NORMAL,NORMAL,True,522520.9204974669,5696864.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
53,53,NORMAL,NORMAL,True,522500.9204974669,5696844.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
54,54,NORMAL,NORMAL,True,522500.9204974669,5696824.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
55,55,NORMAL,NORMAL,True,522500.9204974669,5696804.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
56,56,NORMAL,NORMAL,True,522500.9204974669,5696784.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
57,57,NORMAL,NORMAL,True,522480.9204974669,5696764.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
58,58,NORMAL,NORMAL,True,522500.9204974669,5696744.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
59,59,NORMAL,NORMAL,True,522520.9204974669,5696724.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
60,60,NORMAL,NORMAL,True,522520.9204974669,5696704.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
61,61,NORMAL,NORMAL,True,522540.9204974669,5696684.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
62,62,NORMAL,NORMAL,True,522540.9204974669,5696664.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
63,63,NORMAL,NORMAL,True,522560.9204974669,5696644.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
64,64,NORMAL,NORMAL,True,522560.9204974669,5696624.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
65,65,NORMAL,NORMAL,True,522540.9204974669,5696604.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
66,66,NORMAL,NORMAL,True,522520.9204974669,5696624.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
67,67,NORMAL,NORMAL,True,522500.9204974669,5696644.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
68,68,NORMAL,NORMAL,True,522480.9204974669,5696664.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
69,69,NORMAL,NORMAL,True,522480.9204974669,5696684.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
70,70,NORMAL,NORMAL,True,522460.9204974669,5696704.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
71,71,NORMAL,NORMAL,True,522460.9204974669,5696724.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
72,72,NORMAL,NORMAL,True,522440.9204974669,5696744.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
73,73,NORMAL,NORMAL,True,522420.9204974669,5696764.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
74,74,NORMAL,NORMAL,True,522440.9204974669,5696784.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
75,75,NORMAL,NORMAL,True,522440.9204974669,5696804.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
76,76,NORMAL,NORMAL,True,522440.9204974669,5696824.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
77,77,NORMAL,NORMAL,True,522440.9204974669,5696844.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
78,78,NORMAL,NORMAL,True,522460.9204974669,5696864.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
79,79,NORMAL,NORMAL,True,522480.9204974669,5696884.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
80,80,NORMAL,NORMAL,True,522480.9204974669,5696904.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
81,81,NORMAL,NORMAL,True,522480.9204974669,5696924.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
82,82,NORMAL,NORMAL,True,522480.9204974669,5696944.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
83,83,NORMAL,NORMAL,True,522480.9204974669,5696964.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
84,84,NORMAL,NORMAL,True,522500.9204974669,5696984.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
85,85,NORMAL,NORMAL,True,522520.9204974669,5696984.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
86,86,NORMAL,NORMAL,True,522540.9204974669,5696984.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
87,87,NORMAL,NORMAL,True,522560.9204974669,5696984.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
88,88,NORMAL,NORMAL,True,522580.9204974669,5696984.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
89,89,NORMAL,NORMAL,True,522600.9204974669,5696964.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
90,90,NORMAL,NORMAL,True,522600.9204974669,5696944.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
91,91,NORMAL,NORMAL,True,522600.9204974669,5696924.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
92,92,NORMAL,NORMAL,True,522620.9204974669,5696904.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
93,93,NORMAL,NORMAL,True,522640.9204974669,5696924.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
94,94,NORMAL,NORMAL,True,522660.9204974669,5696904.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
95,95,NORMAL,NORMAL,True,522680.9204974669,5696904.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
96,96,NORMAL,NORMAL,True,522700.9204974669,5696904.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
97,97,NORMAL,NORMAL,True,522720.9204974669,5696904.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
98,98,NORMAL,NORMAL,True,522740.9204974669,5696904.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
99,99,NORMAL,NORMAL,True,522760.9204974669,5696884.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
100,100,NORMAL,NORMAL,True,522780.9204974669,5696864.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
101,101,NORMAL,NORMAL,True,522760.9204974669,5696844.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
102,102,NORMAL,NORMAL,True,522740.9204974669,5696824.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
103,103,NORMAL,NORMAL,True,522720.9204974669,5696804.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
104,104,NORMAL,NORMAL,True,522720.9204974669,5696784.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
105,105,NORMAL,NORMAL,True,522720.9204974669,5696764.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
106,106,NORMAL,NORMAL,True,522720.9204974669,5696744.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
107,107,NORMAL,NORMAL,True,522720.9204974669,5696724.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
108,108,NORMAL,NORMAL,True,522740.9204974669,5696704.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
109,109,NORMAL,NORMAL,True,522760.9204974669,5696684.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
110,110,NORMAL,NORMAL,True,522740.9204974669,5696664.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
111,111,NORMAL,NORMAL,True,522760.9204974669,5696644.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
112,112,NORMAL,NORMAL,True,522760.9204974669,5696624.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
113,113,NORMAL,NORMAL,True,522760.9204974669,5696604.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
114,114,NORMAL,NORMAL,True,522740.9204974669,5696604.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
115,115,NORMAL,NORMAL,True,522720.9204974669,5696624.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
116,116,NORMAL,NORMAL,True,522700.9204974669,5696644.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
117,117,NORMAL,NORMAL,True,522680.9204974669,5696644.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
118,118,NORMAL,NORMAL,True,522680.9204974669,5696624.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
119,119,NORMAL,NORMAL,True,522680.9204974669,5696604.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
120,120,NORMAL,NORMAL,True,522700.9204974669,5696584.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
121,121,NORMAL,NORMAL,True,522680.9204974669,5696584.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
122,122,NORMAL,NORMAL,True,522660.9204974669,5696604.290406497,,1,0.01,0.1,0.09000000000000001,10.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,,False,False,False,
