step_index,x_m,y_m,platform_altitude_m,value_reference_height_m,value,quantity,unit,sampling_contract
39,522660.9204974669,5696724.290406497,50.0,1.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,one_noise_free_measurement_per_executed_route_node
40,522660.9204974669,5696744.290406497,50.0,1.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,one_noise_free_measurement_per_executed_route_node
41,522660.9204974669,5696764.290406497,50.0,1.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,one_noise_free_measurement_per_executed_route_node
42,522660.9204974669,5696784.290406497,50.0,1.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,one_noise_free_measurement_per_executed_route_node
43,522660.9204974669,5696804.290406497,50.0,1.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,one_noise_free_measurement_per_executed_route_node
44,522660.9204974669,5696824.290406497,50.0,1.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,one_noise_free_measurement_per_executed_route_node
45,522640.9204974669,5696844.290406497,50.0,1.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,one_noise_free_measurement_per_executed_route_node
46,522640.9204974669,5696864.290406497,50.0,1.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,one_noise_free_measurement_per_executed_route_node
47,522620.9204974669,5696884.290406497,50.0,1.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,one_noise_free_measurement_per_executed_route_node
48,522600.9204974669,5696884.290406497,50.0,1.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,one_noise_free_measurement_per_executed_route_node
49,522580.9204974669,5696884.290406497,50.0,1.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,one_noise_free_measurement_per_executed_route_node
50,522560.9204974669,5696884.290406497,50.0,1.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,one_noise_free_measurement_per_executed_route_node
51,522540.9204974669,5696864.290406497,50.0,1.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,one_noise_free_measurement_per_executed_route_node
52,522520.9204974669,5696864.290406497,50.0,1.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,one_noise_free_measurement_per_executed_route_node
53,522500.9204974669,5696844.290406497,50.0,1.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,one_noise_free_measurement_per_executed_route_node
54,522500.9204974669,5696824.290406497,50.0,1.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,one_noise_free_measurement_per_executed_route_node
55,522500.9204974669,5696804.290406497,50.0,1.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,one_noise_free_measurement_per_executed_route_node
56,522500.9204974669,5696784.290406497,50.0,1.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,one_noise_free_measurement_per_executed_route_node
57,522480.9204974669,5696764.290406497,50.0,1.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,one_noise_free_measurement_per_executed_route_node
58,522500.9204974669,5696744.290406497,50.0,1.0,0.0,ground_equivalent_excess_collision_air_kerma_rate,uGy/h,one_noise_free_measurement_per_executed_route_node
