step_index,mode_before,mode_after,x_m,y_m,sar_row,sar_col,step_distance_m,total_distance_m,measurement_excess,measurement_quantity,measurement_unit,platform_altitude_m,value_reference_height_m,estimator_updated_cells,estimator_update_time_s,hazard_active,hazard_transition,hazard_episode_index,entry_threshold_current,exit_threshold_current,normal_route_interrupted,mode_transition_reason,radiation_planning_time_s,continuation_planning_time_s
0,NORMAL,RADIATION,522960.9204974669,5696984.290406497,30,29,0.0,0.0,0.12704211354777967,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.000908799993339926,True,enter,1,0.1,0.09000000000000001,True,hazard_enter_threshold,,
1,RADIATION,RADIATION,522940.9204974669,5696964.290406497,29,28,28.284271247461902,28.284271247461902,0.13102918273772451,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.0004973000031895936,True,,1,0.1,0.09000000000000001,False,,0.0007128999859560281,
2,RADIATION,RADIATION,522920.9204974669,5696944.290406497,28,27,28.284271247461902,56.568542494923804,0.1341135216087439,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.0004665000014938414,True,,1,0.1,0.09000000000000001,False,,0.0006076999998185784,
3,RADIATION,RADIATION,522900.9204974669,5696924.290406497,27,26,28.284271247461902,84.8528137423857,0.13614978629736335,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.0004963999963365495,True,,1,0.1,0.09000000000000001,False,,0.0005512000061571598,
4,RADIATION,RADIATION,522880.9204974669,5696904.290406497,26,25,28.284271247461902,113.13708498984761,0.13703635064454128,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.0004700000281445682,True,,1,0.1,0.09000000000000001,False,,0.0007134999905247241,
5,RADIATION,RADIATION,522860.9204974669,5696884.290406497,25,24,28.284271247461902,141.4213562373095,0.13672753199986026,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.0004535999905783683,True,,1,0.1,0.09000000000000001,False,,0.0005699000030290335,
6,RADIATION,RADIATION,522840.9204974669,5696904.290406497,26,23,28.284271247461902,169.7056274847714,0.12030574273289235,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.0007530000002589077,True,,1,0.1,0.09000000000000001,False,,0.0009722000104375184,
7,RADIATION,RADIATION,522840.9204974669,5696884.290406497,25,23,20.0,189.7056274847714,0.12759615798653773,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.0005693999992217869,True,,1,0.1,0.09000000000000001,False,,0.0010673000069800764,
8,RADIATION,RADIATION,522860.9204974669,5696864.290406497,24,24,28.284271247461902,217.9898987322333,0.1455416093281326,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.0004661999992094934,True,,1,0.1,0.09000000000000001,False,,0.0005872999900020659,
9,RADIATION,RADIATION,522840.9204974669,5696844.290406497,23,23,28.284271247461902,246.27416997969522,0.14319735105706427,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.0004636000085156411,True,,1,0.1,0.09000000000000001,False,,0.0008771000138949603,
10,RADIATION,RADIATION,522860.9204974669,5696844.290406497,23,24,20.0,266.2741699796952,0.15479975011496033,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.00035990000469610095,True,,1,0.1,0.09000000000000001,False,,0.0005722999921999872,
11,RADIATION,RADIATION,522880.9204974669,5696824.290406497,22,25,28.284271247461902,294.5584412271571,0.1789030538611595,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.00044659999548457563,True,,1,0.1,0.09000000000000001,False,,0.0005416999920271337,
12,RADIATION,RADIATION,522860.9204974669,5696804.290406497,21,24,28.284271247461902,322.842712474619,0.1743952363432218,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.0005177999846637249,True,,1,0.1,0.09000000000000001,False,,0.0005371000152081251,
13,RADIATION,RADIATION,522880.9204974669,5696804.290406497,21,25,20.0,342.842712474619,0.19074174208822076,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.00035200000274926424,True,,1,0.1,0.09000000000000001,False,,0.0005645000201184303,
14,RADIATION,RADIATION,522900.9204974669,5696784.290406497,20,26,28.284271247461902,371.1269837220809,0.22379617155652692,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.0005119999987073243,True,,1,0.1,0.09000000000000001,False,,0.0006387000030372292,
15,RADIATION,RADIATION,522900.9204974669,5696764.290406497,19,26,20.0,391.1269837220809,0.23892447104630282,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.0005535999953281134,True,,1,0.1,0.09000000000000001,False,,0.0006637999904341996,
16,RADIATION,RADIATION,522880.9204974669,5696744.290406497,18,25,28.284271247461902,419.4112549695428,0.22758797961657296,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.00044249999336898327,True,,1,0.1,0.09000000000000001,False,,0.000582600012421608,
17,RADIATION,RADIATION,522900.9204974669,5696744.290406497,18,26,20.0,439.4112549695428,0.2541622555221077,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.0006282000103965402,True,,1,0.1,0.09000000000000001,False,,0.0009676000045146793,
18,RADIATION,RADIATION,522920.9204974669,5696724.290406497,17,27,28.284271247461902,467.6955262170047,0.30412189104170856,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.0007133999897632748,True,,1,0.1,0.09000000000000001,False,,0.0010179000091738999,
19,RADIATION,RADIATION,522940.9204974669,5696704.290406497,16,28,28.284271247461902,495.9797974644666,0.3695742753129752,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.00046960002509877086,True,,1,0.1,0.09000000000000001,False,,0.0007137999928090721,
20,RADIATION,RADIATION,522920.9204974669,5696684.290406497,15,27,28.284271247461902,524.2640687119285,0.3394089683450338,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.0004834999854210764,True,,1,0.1,0.09000000000000001,False,,0.000659800018183887,
21,RADIATION,RADIATION,522940.9204974669,5696684.290406497,15,28,20.0,544.2640687119285,0.3920204320475063,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.0004071999865118414,True,,1,0.1,0.09000000000000001,False,,0.0006432000081986189,
22,RADIATION,RADIATION,522960.9204974669,5696664.290406497,14,29,28.284271247461902,572.5483399593904,0.4843674734184224,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.0004482999793253839,True,,1,0.1,0.09000000000000001,False,,0.0005588000058196485,
23,RADIATION,RADIATION,522980.9204974669,5696684.290406497,15,30,28.284271247461902,600.8326112068523,0.5387739039493231,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.0003499999875202775,True,,1,0.1,0.09000000000000001,False,,0.0005477999802678823,
24,RADIATION,RADIATION,523000.920497467,5696704.290406497,16,31,28.28427124750306,629.1168824543554,0.584254094066748,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.0005197999998927116,True,,1,0.1,0.09000000000000001,False,,0.0005461999971885234,
25,RADIATION,RADIATION,523000.920497467,5696724.290406497,17,31,20.0,649.1168824543554,0.526728119308268,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.0004579000233206898,True,,1,0.1,0.09000000000000001,False,,0.0005825999833177775,
26,RADIATION,RADIATION,523020.920497467,5696704.290406497,16,32,28.284271247461902,677.4011537018173,0.6924376185171777,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.0003789999755099416,True,,1,0.1,0.09000000000000001,False,,0.0005533999938052148,
27,RADIATION,RADIATION,523040.920497467,5696724.290406497,17,33,28.284271247461902,705.6854249492792,0.7164907941675125,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.00035829999251291156,True,,1,0.1,0.09000000000000001,False,,0.0005428000004030764,
28,RADIATION,RADIATION,523060.920497467,5696744.290406497,18,34,28.284271247461902,733.9696961967411,0.7086121228660731,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.0003952999832108617,True,,1,0.1,0.09000000000000001,False,,0.0007501000072807074,
29,RADIATION,RADIATION,523060.920497467,5696724.290406497,17,34,20.0,753.9696961967411,0.8387286723035177,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.000585700006922707,True,,1,0.1,0.09000000000000001,False,,0.001140100008342415,
30,RADIATION,RADIATION,523080.920497467,5696704.290406497,16,35,28.284271247461902,782.253967444203,1.1991249505404817,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.0005233999982010573,True,,1,0.1,0.09000000000000001,False,,0.0010433000279590487,
31,RADIATION,RADIATION,523100.920497467,5696684.290406497,15,36,28.284271247461902,810.5382386916649,1.853217020091588,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.00038670000503771007,True,,1,0.1,0.09000000000000001,False,,0.0005982000147923827,
32,RADIATION,RADIATION,523120.920497467,5696664.290406497,14,37,28.284271247461902,838.8225099391268,3.233494132268564,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.00037719999090768397,True,,1,0.1,0.09000000000000001,False,,0.0005601999873761088,
33,RADIATION,RADIATION,523120.920497467,5696644.290406497,13,37,20.0,858.8225099391268,4.580130601080961,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.0005870000168215483,True,,1,0.1,0.09000000000000001,False,,0.0006876999977976084,
34,RADIATION,RADIATION,523140.920497467,5696624.290406497,12,38,28.284271247461902,887.1067811865887,11.905449924834068,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.0004543000250123441,True,,1,0.1,0.09000000000000001,False,,0.0005996999971102923,
35,RADIATION,RADIATION,523140.920497467,5696604.290406497,11,38,20.0,907.1067811865887,17.5233970305387,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.00043479999294504523,True,,1,0.1,0.09000000000000001,False,,0.0005594000103883445,
36,RADIATION,RADIATION,523140.920497467,5696584.290406497,10,38,20.0,927.1067811865887,16.093218162917864,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.0004351999959908426,True,,1,0.1,0.09000000000000001,False,,0.0005486999871209264,
37,RADIATION,RADIATION,523120.920497467,5696584.290406497,10,37,20.0,947.1067811865887,7.2701559825299436,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.00041009997949004173,True,,1,0.1,0.09000000000000001,False,,0.0007060999923851341,
38,RADIATION,RADIATION,523140.920497467,5696564.290406497,9,38,28.284271247461902,975.3910524340506,10.079690961605294,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.00044010000419802964,True,,1,0.1,0.09000000000000001,False,,0.0005612999957520515,
39,RADIATION,RADIATION,523160.920497467,5696564.290406497,9,39,20.0,995.3910524340506,17.921552941129228,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.0003420000139158219,True,,1,0.1,0.09000000000000001,False,,0.0005532999930437654,
40,RADIATION,RADIATION,523180.920497467,5696544.290406497,8,40,28.284271247461902,1023.6753236815125,8.813717972772379,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.0004898000042885542,True,,1,0.1,0.09000000000000001,False,,0.0005419000226538628,
41,RADIATION,RADIATION,523180.920497467,5696564.290406497,9,40,20.0,1043.6753236815125,22.528570208842037,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.0005184000183362514,True,,1,0.1,0.09000000000000001,False,,0.0012128000089433044,
42,RADIATION,RADIATION,523200.920497467,5696584.290406497,10,41,28.284271247461902,1071.9595949289744,35.83457333272325,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.00042810000013560057,True,,1,0.1,0.09000000000000001,False,,0.0008329999982379377,
43,RADIATION,RADIATION,523220.920497467,5696564.290406497,9,42,28.284271247461902,1100.2438661764363,8.505804739134158,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.0004826999793294817,True,,1,0.1,0.09000000000000001,False,,0.0008853999897837639,
44,RADIATION,RADIATION,523220.920497467,5696584.290406497,10,42,20.0,1120.2438661764363,12.423076902356526,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.0003667000273708254,True,,1,0.1,0.09000000000000001,False,,0.0006208000122569501,
45,RADIATION,RADIATION,523200.920497467,5696604.290406497,11,41,28.284271247461902,1148.5281374238982,43.79319871429291,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.0003387999895494431,True,,1,0.1,0.09000000000000001,False,,0.0005631000094581395,
46,RADIATION,RADIATION,523200.920497467,5696624.290406497,12,41,20.0,1168.5281374238982,20.095178431561777,ground_equivalent_excess_gamma_dose_rate,uSv/h,50.0,1.0,6360,0.0003507999936118722,True,,1,0.1,0.09000000000000001,False,,0.0006505000055767596,
